#ctg	length	repeat_bundle_count	repeat_bundle_sum	repeat_bundle_percentage	repeat_bundle_mean	repeat_bundle_min	repeat_bundle_max	non_repeat_bundle_count	non_repeat_bundle_sum	non_repeat_bundle_percentage	non_repeat_bundle_mean	non_repeat_bundle_min	non_repeat_bundle_max	total_bundle_count	total_bundle_coverage_percentage
HG00423#1#classII	640703	0	0	0	NA	NA	NA	269	525005	81.942024	1951.6914	503	46179	269	81.942024
HG00423#2#classII	466710	0	0	0	NA	NA	NA	163	345172	73.958565	2117.6196	502	46166	163	73.958565
HG00438#1#classII	530203	0	0	0	NA	NA	NA	212	409002	77.14064	1929.2548	502	46164	212	77.14064
HG00438#2#classII	638284	0	0	0	NA	NA	NA	259	516103	80.857895	1992.6757	503	46167	259	80.857895
HG005#1#classII	638156	0	0	0	NA	NA	NA	259	514161	80.5698	1985.1776	503	46179	259	80.5698
HG005#2#classII	639257	0	0	0	NA	NA	NA	266	523943	81.96124	1969.7106	503	46165	266	81.96124
HG00544#1#classII	640699	0	0	0	NA	NA	NA	269	525455	82.01277	1953.3643	503	46167	269	82.01277
HG00544#2#classII	640699	0	0	0	NA	NA	NA	269	525455	82.01277	1953.3643	503	46167	269	82.01277
HG00558#1#classII	638828	0	0	0	NA	NA	NA	262	519417	81.3078	1982.5077	503	46164	262	81.3078
HG00558#2#classII	542421	0	0	0	NA	NA	NA	208	417624	76.99259	2007.8077	504	46166	208	76.99259
HG00597#1#classII	525782	0	0	0	NA	NA	NA	196	394478	75.02691	2012.6428	501	46095	196	75.02691
HG00597#2#classII	522190	0	0	0	NA	NA	NA	213	413890	79.26042	1943.1455	501	46157	213	79.26042
HG00609#1#classII	553049	0	0	0	NA	NA	NA	240	455670	82.392334	1898.625	503	46179	240	82.392334
HG00609#2#classII	638647	0	0	0	NA	NA	NA	262	516861	80.930626	1972.752	503	46189	262	80.930626
HG00621#1#classII	639270	0	0	0	NA	NA	NA	266	524002	81.96881	1969.9324	503	46180	266	81.96881
HG00621#2#classII	522365	0	0	0	NA	NA	NA	213	415553	79.55223	1950.953	502	46182	213	79.55223
HG00639#1#classII	638765	0	0	0	NA	NA	NA	262	517806	81.063614	1976.3588	503	46182	262	81.063614
HG00639#2#classII	637163	0	0	0	NA	NA	NA	264	526718	82.66613	1995.1439	503	46176	264	82.66613
HG00642#1#classII	525065	0	0	0	NA	NA	NA	221	405266	77.18397	1833.7828	502	46184	221	77.18397
HG00642#2#classII	529018	0	0	0	NA	NA	NA	214	409366	77.38224	1912.9253	502	46106	214	77.38224
HG00658#1#classII	466743	0	0	0	NA	NA	NA	164	345508	74.02532	2106.756	502	46165	164	74.02532
HG00658#2#classII	532697	0	0	0	NA	NA	NA	207	408237	76.63587	1972.1594	503	46177	207	76.63587
HG00673#1#classII	522365	0	0	0	NA	NA	NA	215	416560	79.745	1937.4884	501	46167	215	79.745
HG00673#2#classII	467011	0	0	0	NA	NA	NA	163	346194	74.12973	2123.8896	503	46096	163	74.12973
HG00706#1#classII	554146	0	0	0	NA	NA	NA	233	451604	81.49549	1938.2146	502	46178	233	81.49549
HG00706#2#classII	553219	0	0	0	NA	NA	NA	239	456032	82.43246	1908.0837	503	46177	239	82.43246
HG00733#1#classII	522166	0	0	0	NA	NA	NA	213	412906	79.07562	1938.5259	502	46183	213	79.07562
HG00733#2#classII	525040	0	0	0	NA	NA	NA	221	405393	77.21183	1834.3574	501	46189	221	77.21183
HG00735#1#classII	536557	0	0	0	NA	NA	NA	217	421151	78.49138	1940.788	502	46180	217	78.49138
HG00735#2#classII	638801	0	0	0	NA	NA	NA	265	519920	81.38998	1961.9623	503	46166	265	81.38998
HG00738#1#classII	527817	0	0	0	NA	NA	NA	210	399654	75.71829	1903.1143	502	46178	210	75.71829
HG00738#2#classII	531818	0	0	0	NA	NA	NA	206	396584	74.57137	1925.165	501	46184	206	74.57137
HG00741#1#classII	522239	0	0	0	NA	NA	NA	210	411153	78.7289	1957.8715	502	46175	210	78.7289
HG00741#2#classII	525907	0	0	0	NA	NA	NA	208	401707	76.38366	1931.2837	503	46184	208	76.38366
HG01071#1#classII	648656	0	0	0	NA	NA	NA	271	509232	78.50571	1879.0848	502	46177	271	78.50571
HG01071#2#classII	523598	0	0	0	NA	NA	NA	216	404159	77.1888	1871.1064	501	46181	216	77.1888
HG01074#1#classII	552997	0	0	0	NA	NA	NA	237	452134	81.76066	1907.7384	503	46180	237	81.76066
HG01074#2#classII	648531	0	0	0	NA	NA	NA	271	509252	78.523926	1879.1587	502	46108	271	78.523926
HG01081#1#classII	521905	0	0	0	NA	NA	NA	210	406289	77.84731	1934.7095	503	46183	210	77.84731
HG01081#2#classII	529016	0	0	0	NA	NA	NA	214	409364	77.38216	1912.9159	502	46106	214	77.38216
HG01099#1#classII	648569	0	0	0	NA	NA	NA	271	509093	78.49481	1878.5719	502	46191	271	78.49481
HG01099#2#classII	648548	0	0	0	NA	NA	NA	271	509132	78.503365	1878.7158	502	46181	271	78.503365
HG01106#1#classII	525014	0	0	0	NA	NA	NA	221	405180	77.17509	1833.3937	502	46183	221	77.17509
HG01106#2#classII	524863	0	0	0	NA	NA	NA	213	412438	78.580124	1936.3286	501	46104	213	78.580124
HG01109#1#classII	467588	0	0	0	NA	NA	NA	165	342963	73.34726	2078.5637	503	46166	165	73.34726
HG01109#2#classII	536528	0	0	0	NA	NA	NA	219	416023	77.53985	1899.6484	502	46182	219	77.53985
HG01123#1#classII	646796	0	0	0	NA	NA	NA	277	526741	81.43851	1901.592	503	46105	277	81.43851
HG01123#2#classII	532831	0	0	0	NA	NA	NA	213	405101	76.028046	1901.8826	501	46180	213	76.028046
HG01150#1#classII	555297	0	0	0	NA	NA	NA	230	458602	82.5868	1993.9218	503	46183	230	82.5868
HG01150#2#classII	530946	0	0	0	NA	NA	NA	209	414833	78.13092	1984.8469	502	46181	209	78.13092
HG01167#1#classII	638809	0	0	0	NA	NA	NA	264	519178	81.272804	1966.5834	503	46181	264	81.272804
HG01167#2#classII	553765	0	0	0	NA	NA	NA	244	456507	82.43695	1870.9303	503	46113	244	82.43695
HG01175#1#classII	553784	0	0	0	NA	NA	NA	243	456132	82.36641	1877.0864	503	46166	243	82.36641
HG01175#2#classII	537045	0	0	0	NA	NA	NA	222	429356	79.94786	1934.036	502	46183	222	79.94786
HG01192#1#classII	466553	0	0	0	NA	NA	NA	168	345882	74.13563	2058.8215	503	46178	168	74.13563
HG01192#2#classII	523616	0	0	0	NA	NA	NA	220	410091	78.31904	1864.05	501	46178	220	78.31904
HG01243#1#classII	530128	0	0	0	NA	NA	NA	200	389716	73.513565	1948.58	503	46109	200	73.513565
HG01243#2#classII	531871	0	0	0	NA	NA	NA	207	397368	74.71135	1919.6522	501	46179	207	74.71135
HG01252#1#classII	638768	0	0	0	NA	NA	NA	263	518465	81.166405	1971.3499	503	46178	263	81.166405
HG01252#2#classII	638231	0	0	0	NA	NA	NA	260	518639	81.261955	1994.7654	503	46164	260	81.261955
HG01255#1#classII	531844	0	0	0	NA	NA	NA	207	397312	74.70461	1919.3816	501	46185	207	74.70461
HG01255#2#classII	552785	0	0	0	NA	NA	NA	237	449107	81.24442	1894.9662	503	46105	237	81.24442
HG01258#1#classII	528373	0	0	0	NA	NA	NA	209	398807	75.47831	1908.1675	503	46181	209	75.47831
HG01258#2#classII	542658	0	0	0	NA	NA	NA	209	423476	78.03736	2026.2009	504	46176	209	78.03736
HG01261#1#classII	639278	0	0	0	NA	NA	NA	263	520353	81.39698	1978.5286	503	46182	263	81.39698
HG01261#2#classII	466680	0	0	0	NA	NA	NA	167	346571	74.26309	2075.2754	503	46095	167	74.26309
HG01346#1#classII	530152	0	0	0	NA	NA	NA	205	412267	77.76392	2011.0586	502	46180	205	77.76392
HG01346#2#classII	529798	0	0	0	NA	NA	NA	196	389901	73.59428	1989.2908	503	46184	196	73.59428
HG01358#1#classII	638221	0	0	0	NA	NA	NA	260	518833	81.293625	1995.5116	503	46177	260	81.293625
HG01358#2#classII	530850	0	0	0	NA	NA	NA	200	391873	73.81991	1959.365	503	46186	200	73.81991
HG01361#1#classII	524980	0	0	0	NA	NA	NA	211	411355	78.356316	1949.5498	502	46108	211	78.356316
HG01361#2#classII	648569	0	0	0	NA	NA	NA	271	509055	78.48895	1878.4318	502	46180	271	78.48895
HG01433#1#classII	638780	0	0	0	NA	NA	NA	263	518360	81.14844	1970.9506	503	46180	263	81.14844
HG01433#2#classII	648006	0	0	0	NA	NA	NA	272	518611	80.03182	1906.6581	502	46178	272	80.03182
HG01496#1#classII	536428	0	0	0	NA	NA	NA	217	420984	78.479126	1940.0184	502	46180	217	78.479126
HG01496#2#classII	638789	0	0	0	NA	NA	NA	263	518163	81.116455	1970.2015	503	46178	263	81.116455
HG01530#1#classII	536425	0	0	0	NA	NA	NA	217	420984	78.47956	1940.0184	502	46180	217	78.47956
HG01530#2#classII	647952	0	0	0	NA	NA	NA	272	518261	79.984474	1905.3713	502	46180	272	79.984474
HG01784#1#classII	641685	0	0	0	NA	NA	NA	264	528789	82.40632	2002.9886	503	46180	264	82.40632
HG01784#2#classII	638568	0	0	0	NA	NA	NA	259	523805	82.02807	2022.4131	503	46181	259	82.02807
HG01786#1#classII	521599	0	0	0	NA	NA	NA	209	404609	77.57089	1935.9282	502	46105	209	77.57089
HG01786#2#classII	529106	0	0	0	NA	NA	NA	191	384372	72.64555	2012.4188	503	46173	191	72.64555
HG01884#1#classII	525001	0	0	0	NA	NA	NA	212	412288	78.5309	1944.7548	501	46184	212	78.5309
HG01884#2#classII	529335	0	0	0	NA	NA	NA	200	396244	74.85694	1981.22	503	46179	200	74.85694
HG01891#1#classII	553821	0	0	0	NA	NA	NA	242	455581	82.26141	1882.5662	503	46185	242	82.26141
HG01891#2#classII	536527	0	0	0	NA	NA	NA	219	416263	77.584724	1900.7443	502	46110	219	77.584724
HG01928#1#classII	638764	0	0	0	NA	NA	NA	264	519143	81.273056	1966.4508	503	46178	264	81.273056
HG01928#2#classII	640800	0	0	0	NA	NA	NA	269	527241	82.27856	1960.0037	503	46180	269	82.27856
HG01934#1#classII	553781	0	0	0	NA	NA	NA	244	456520	82.43692	1870.9836	503	46113	244	82.43692
HG01934#2#classII	638744	0	0	0	NA	NA	NA	265	517654	81.04248	1953.4114	503	46179	265	81.04248
HG01940#1#classII	530342	0	0	0	NA	NA	NA	207	415871	78.41563	2009.0387	502	46091	207	78.41563
HG01940#2#classII	531210	0	0	0	NA	NA	NA	205	413364	77.81555	2016.4098	502	46179	205	77.81555
HG01943#1#classII	638220	0	0	0	NA	NA	NA	261	519567	81.40876	1990.6781	503	46178	261	81.40876
HG01943#2#classII	640612	0	0	0	NA	NA	NA	269	524579	81.88716	1950.1078	503	46166	269	81.88716
HG01952#1#classII	531525	0	0	0	NA	NA	NA	209	414374	77.95946	1982.6508	502	46180	209	77.95946
HG01952#2#classII	638807	0	0	0	NA	NA	NA	265	519366	81.30249	1959.8717	503	46181	265	81.30249
HG01960#1#classII	648033	0	0	0	NA	NA	NA	281	528669	81.58057	1881.3844	503	46182	281	81.58057
HG01960#2#classII	529192	0	0	0	NA	NA	NA	195	389421	73.587845	1997.0308	503	46179	195	73.587845
HG01969#1#classII	648579	0	0	0	NA	NA	NA	271	509300	78.52551	1879.3358	502	46108	271	78.52551
HG01969#2#classII	536480	0	0	0	NA	NA	NA	217	420940	78.46332	1939.8157	502	46181	217	78.46332
HG01975#1#classII	638796	0	0	0	NA	NA	NA	264	519143	81.26898	1966.4508	503	46181	264	81.26898
HG01975#2#classII	639416	0	0	0	NA	NA	NA	268	527215	82.45258	1967.2201	503	46095	268	82.45258
HG01978#1#classII	549093	0	0	0	NA	NA	NA	222	441614	80.42609	1989.2522	502	46178	222	80.42609
HG01978#2#classII	640410	0	0	0	NA	NA	NA	266	525936	82.124886	1977.203	503	46179	266	82.124886
HG01981#1#classII	638771	0	0	0	NA	NA	NA	263	518508	81.17275	1971.5133	503	46183	263	81.17275
HG01981#2#classII	638777	0	0	0	NA	NA	NA	263	518501	81.17089	1971.4867	503	46164	263	81.17089
HG01993#1#classII	548956	0	0	0	NA	NA	NA	222	441271	80.383675	1987.7072	501	46164	222	80.383675
HG01993#2#classII	536423	0	0	0	NA	NA	NA	217	420837	78.45245	1939.3411	502	46180	217	78.45245
HG02004#1#classII	639538	0	0	0	NA	NA	NA	267	528632	82.65842	1979.8951	503	46095	267	82.65842
HG02004#2#classII	640325	0	0	0	NA	NA	NA	267	524050	81.841255	1962.7341	503	46181	267	81.841255
HG02015#1#classII	555468	0	0	0	NA	NA	NA	215	438089	78.86845	2037.6233	503	46179	215	78.86845
HG02015#2#classII	637633	0	0	0	NA	NA	NA	260	516287	80.96931	1985.7192	502	46165	260	80.96931
HG02027#1#classII	525795	0	0	0	NA	NA	NA	188	387838	73.76221	2062.968	503	46178	188	73.76221
HG02027#2#classII	529947	0	0	0	NA	NA	NA	205	411272	77.606255	2006.2048	501	46179	205	77.606255
HG02040#1#classII	541687	0	0	0	NA	NA	NA	206	423984	78.271034	2058.1748	504	46181	206	78.271034
HG02040#2#classII	640703	0	0	0	NA	NA	NA	269	525469	82.01444	1953.4164	503	46180	269	82.01444
HG02055#1#classII	461386	0	0	0	NA	NA	NA	169	354524	76.83891	2097.7751	502	46184	169	76.83891
HG02055#2#classII	525083	0	0	0	NA	NA	NA	211	411627	78.392746	1950.8389	501	46102	211	78.392746
HG02056#1#classII	526428	0	0	0	NA	NA	NA	214	418325	79.464806	1954.7897	502	46180	214	79.464806
HG02056#2#classII	526428	0	0	0	NA	NA	NA	214	418325	79.464806	1954.7897	502	46180	214	79.464806
HG02071#1#classII	526007	0	0	0	NA	NA	NA	188	389085	73.96955	2069.601	503	46179	188	73.96955
HG02071#2#classII	527143	0	0	0	NA	NA	NA	190	388483	73.695946	2044.6473	503	46183	190	73.695946
HG02074#1#classII	531711	0	0	0	NA	NA	NA	208	420088	79.00683	2019.6538	501	46167	208	79.00683
HG02074#2#classII	640693	0	0	0	NA	NA	NA	269	525252	81.98186	1952.6096	503	46180	269	81.98186
HG02080#1#classII	523621	0	0	0	NA	NA	NA	216	404183	77.18999	1871.2177	501	46189	216	77.18999
HG02080#2#classII	647885	0	0	0	NA	NA	NA	278	537732	82.99806	1934.2877	503	46179	278	82.99806
HG02083#1#classII	526006	0	0	0	NA	NA	NA	188	389600	74.0676	2072.3403	503	46179	188	74.0676
HG02083#2#classII	640584	0	0	0	NA	NA	NA	270	525475	82.03062	1946.2037	503	46182	270	82.03062
HG02109#1#classII	529878	0	0	0	NA	NA	NA	203	403356	76.12243	1986.9753	502	46183	203	76.12243
HG02109#2#classII	464956	0	0	0	NA	NA	NA	168	353794	76.091934	2105.9167	502	46173	168	76.091934
HG02129#1#classII	529157	0	0	0	NA	NA	NA	194	385000	72.75723	1984.5361	503	46178	194	72.75723
HG02129#2#classII	552868	0	0	0	NA	NA	NA	227	440681	79.708176	1941.326	502	46180	227	79.708176
HG02132#1#classII	640635	0	0	0	NA	NA	NA	270	525484	82.02549	1946.237	503	46177	270	82.02549
HG02132#2#classII	638521	0	0	0	NA	NA	NA	260	516700	80.92138	1987.3077	503	46181	260	80.92138
HG02135#1#classII	554418	0	0	0	NA	NA	NA	241	454944	82.057945	1887.7345	503	46180	241	82.057945
HG02135#2#classII	639436	0	0	0	NA	NA	NA	266	525742	82.21964	1976.4736	503	46180	266	82.21964
HG02145#1#classII	552741	0	0	0	NA	NA	NA	236	448480	81.13746	1900.339	503	46177	236	81.13746
HG02145#2#classII	532809	0	0	0	NA	NA	NA	212	403994	75.82342	1905.6321	501	46181	212	75.82342
HG02148#1#classII	531565	0	0	0	NA	NA	NA	210	415445	78.15507	1978.3096	502	46181	210	78.15507
HG02148#2#classII	525064	0	0	0	NA	NA	NA	221	405264	77.18373	1833.7738	501	46184	221	77.18373
HG02155#1#classII	554135	0	0	0	NA	NA	NA	233	451606	81.49747	1938.2231	502	46179	233	81.49747
HG02155#2#classII	555198	0	0	0	NA	NA	NA	231	446197	80.36719	1931.5887	502	46165	231	80.36719
HG02165#1#classII	535363	0	0	0	NA	NA	NA	206	420405	78.52709	2040.801	501	46166	206	78.52709
HG02165#2#classII	531706	0	0	0	NA	NA	NA	208	420086	79.007195	2019.6443	501	46166	208	79.007195
HG02178#1#classII	640702	0	0	0	NA	NA	NA	269	525468	82.01441	1953.4126	503	46180	269	82.01441
HG02178#2#classII	553805	0	0	0	NA	NA	NA	228	438753	79.22518	1924.3552	502	46091	228	79.22518
HG02257#1#classII	522920	0	0	0	NA	NA	NA	218	416419	79.63341	1910.179	502	46166	218	79.63341
HG02257#2#classII	538275	0	0	0	NA	NA	NA	219	421060	78.22395	1922.6484	502	46177	219	78.22395
HG02258#1#classII	553829	0	0	0	NA	NA	NA	242	454916	82.14015	1879.8182	503	46176	242	82.14015
HG02258#2#classII	553399	0	0	0	NA	NA	NA	237	452840	81.82884	1910.7173	503	46176	237	81.82884
HG02273#1#classII	639105	0	0	0	NA	NA	NA	258	515349	80.63605	1997.4767	503	46179	258	80.63605
HG02273#2#classII	530398	0	0	0	NA	NA	NA	206	416558	78.53687	2022.1262	502	46179	206	78.53687
HG02280#1#classII	528648	0	0	0	NA	NA	NA	201	404353	76.48814	2011.7064	502	46107	201	76.48814
HG02280#2#classII	537629	0	0	0	NA	NA	NA	222	418767	77.89145	1886.3379	502	46107	222	77.89145
HG02293#1#classII	639540	0	0	0	NA	NA	NA	267	528630	82.657845	1979.8877	503	46095	267	82.657845
HG02293#2#classII	638168	0	0	0	NA	NA	NA	261	519823	81.45551	1991.659	503	46179	261	81.45551
HG02300#1#classII	638777	0	0	0	NA	NA	NA	264	519155	81.27328	1966.4962	503	46179	264	81.27328
HG02300#2#classII	639413	0	0	0	NA	NA	NA	268	527155	82.44359	1966.9962	503	46095	268	82.44359
HG02391#1#classII	554986	0	0	0	NA	NA	NA	221	447512	80.63483	2024.9412	503	46179	221	80.63483
HG02391#2#classII	556626	0	0	0	NA	NA	NA	234	460929	82.80766	1969.7821	503	46164	234	82.80766
HG02392#1#classII	553798	0	0	0	NA	NA	NA	228	438751	79.22582	1924.3464	502	46091	228	79.22582
HG02392#2#classII	555480	0	0	0	NA	NA	NA	229	458373	82.518364	2001.6288	503	46188	229	82.518364
HG02451#1#classII	529825	0	0	0	NA	NA	NA	215	413154	77.97933	1921.6465	503	46179	215	77.97933
HG02451#2#classII	553811	0	0	0	NA	NA	NA	242	455508	82.24972	1882.2644	503	46106	242	82.24972
HG02486#1#classII	553787	0	0	0	NA	NA	NA	242	455369	82.22819	1881.6901	503	46107	242	82.22819
HG02486#2#classII	529552	0	0	0	NA	NA	NA	205	402382	75.98536	1962.839	503	46184	205	75.98536
HG02514#1#classII	648701	0	0	0	NA	NA	NA	280	528723	81.50488	1888.2964	503	46179	280	81.50488
HG02514#2#classII	525800	0	0	0	NA	NA	NA	188	387845	73.76284	2063.0054	503	46178	188	73.76284
HG02523#1#classII	541699	0	0	0	NA	NA	NA	206	424002	78.27262	2058.2622	504	46181	206	78.27262
HG02523#2#classII	640700	0	0	0	NA	NA	NA	269	525360	81.99782	1953.0111	503	46180	269	81.99782
HG02559#1#classII	637438	0	0	0	NA	NA	NA	264	519937	81.56668	1969.4584	503	46186	264	81.56668
HG02559#2#classII	529023	0	0	0	NA	NA	NA	205	410847	77.66146	2004.1317	502	46173	205	77.66146
HG02572#1#classII	525302	0	0	0	NA	NA	NA	224	407852	77.64143	1820.7678	502	46105	224	77.64143
HG02572#2#classII	529679	0	0	0	NA	NA	NA	198	391572	73.926285	1977.6364	503	46172	198	73.926285
HG02583#1#classII	542853	0	0	0	NA	NA	NA	211	426765	78.615204	2022.5829	504	46180	211	78.615204
HG02583#2#classII	537617	0	0	0	NA	NA	NA	222	418635	77.86863	1885.7433	502	46183	222	77.86863
HG02602#1#classII	647879	0	0	0	NA	NA	NA	278	537829	83.0138	1934.6367	503	46179	278	83.0138
HG02602#2#classII	529210	0	0	0	NA	NA	NA	209	409823	77.44052	1960.8756	501	46176	209	77.44052
HG02615#1#classII	530703	0	0	0	NA	NA	NA	203	395054	74.43975	1946.0789	503	46104	203	74.43975
HG02615#2#classII	530101	0	0	0	NA	NA	NA	200	388429	73.27453	1942.145	503	46103	200	73.27453
HG02622#1#classII	647413	0	0	0	NA	NA	NA	276	526436	81.31378	1907.3768	503	46179	276	81.31378
HG02622#2#classII	638941	0	0	0	NA	NA	NA	257	506503	79.27226	1970.8287	503	46178	257	79.27226
HG02630#1#classII	643933	0	0	0	NA	NA	NA	260	514102	79.83781	1977.3154	503	46187	260	79.83781
HG02630#2#classII	641869	0	0	0	NA	NA	NA	256	511667	79.71517	1998.6992	503	46178	256	79.71517
HG02647#1#classII	532713	0	0	0	NA	NA	NA	204	406770	76.35819	1993.9706	502	46103	204	76.35819
HG02647#2#classII	648592	0	0	0	NA	NA	NA	271	509091	78.491714	1878.5646	502	46181	271	78.491714
HG02668#1#classII	529952	0	0	0	NA	NA	NA	204	405338	76.485794	1986.9509	502	46180	204	76.485794
HG02668#2#classII	530718	0	0	0	NA	NA	NA	216	412037	77.63765	1907.5787	503	46182	216	77.63765
HG02698#1#classII	554743	0	0	0	NA	NA	NA	236	459539	82.83818	1947.1991	503	46098	236	82.83818
HG02698#2#classII	529255	0	0	0	NA	NA	NA	199	399180	75.423	2005.9297	503	46172	199	75.423
HG02717#1#classII	530368	0	0	0	NA	NA	NA	207	400306	75.47703	1933.8455	502	46182	207	75.47703
HG02717#2#classII	641865	0	0	0	NA	NA	NA	254	505979	78.829506	1992.0433	503	46090	254	78.829506
HG02723#1#classII	524998	0	0	0	NA	NA	NA	212	412293	78.5323	1944.7783	501	46184	212	78.5323
HG02723#2#classII	647376	0	0	0	NA	NA	NA	274	524642	81.04131	1914.7518	503	46104	274	81.04131
HG02735#1#classII	647486	0	0	0	NA	NA	NA	278	530123	81.87405	1906.9172	503	46181	278	81.87405
HG02735#2#classII	523616	0	0	0	NA	NA	NA	216	404179	77.189964	1871.1991	501	46189	216	77.189964
HG02738#1#classII	524441	0	0	0	NA	NA	NA	221	413335	78.81439	1870.2941	502	46181	221	78.81439
HG02738#2#classII	523630	0	0	0	NA	NA	NA	216	404192	77.190384	1871.2593	502	46189	216	77.190384
HG02809#1#classII	524996	0	0	0	NA	NA	NA	212	412281	78.53031	1944.7217	501	46184	212	78.53031
HG02809#2#classII	638178	0	0	0	NA	NA	NA	262	518698	81.277954	1979.7633	501	46108	262	81.277954
HG02818#1#classII	532824	0	0	0	NA	NA	NA	211	402356	75.51386	1906.9005	501	46106	211	75.51386
HG02818#2#classII	526459	0	0	0	NA	NA	NA	214	412710	78.39357	1928.5514	502	46175	214	78.39357
HG02841#1#classII	531931	0	0	0	NA	NA	NA	212	398827	74.9772	1881.2594	501	46110	212	74.9772
