sample	population	superpopulation	analysis_group	description
HG02630	GWD	AFR	HPRC-Rest	Gambian in Western Division Ð Mandinka
HG02647	GWD	AFR	HPRC-Rest	Gambian in Western Division Ð Mandinka
HG02668	GWD	AFR	HPRC-Rest	Gambian in Western Division Ð Mandinka
HG02698	PJL	SAS	HPRC-Rest	Punjabi in Lahore, Pakistan
HG02717	GWD	AFR	HPRC-Rest	Gambian in Western Division Ð Mandinka
HG02723	GWD	AFR	HPRC-Rest	Gambian in Western Division Ð Mandinka
HG02735	PJL	SAS	HPRC-Rest	Punjabi in Lahore, Pakistan
HG02738	PJL	SAS	HPRC-Rest	Punjabi in Lahore, Pakistan
HG02809	GWD	AFR	HPRC-Rest	Gambian in Western Division Ð Mandinka
HG02818	GWD	AFR	HPRC-Rest	Gambian in Western Division Ð Mandinka
HG02841	GWD	AFR	HPRC-Rest	Gambian in Western Division Ð Mandinka
HG02886	GWD	AFR	HPRC-Rest	Gambian in Western Division Ð Mandinka
HG02922	ESN	AFR	HPRC-Rest	Esan in Nigeria
HG02965	ESN	AFR	HPRC-Rest	Esan in Nigeria
HG02976	ESN	AFR	HPRC-Rest	Esan in Nigeria
HG02984	GWD	AFR	HPRC-Rest	Gambian in Western Division Ð Mandinka
HG03017	PJL	SAS	HPRC-Rest	Punjabi in Lahore, Pakistan
HG03041	GWD	AFR	HPRC-Rest	Gambian in Western Division Ð Mandinka
HG03050	GWD	AFR	HPRC-Rest	Gambian in Western Division Ð Mandinka
HG03098	MSL	AFR	HPRC-Rest	Mende in Sierra Leone
HG03130	ESN	AFR	HPRC-Rest	Esan in Nigeria
HG03139	ESN	AFR	HPRC-Rest	Esan in Nigeria
HG03195	ESN	AFR	HPRC-Rest	Esan in Nigeria
HG03209	MSL	AFR	HPRC-Rest	Mende in Sierra Leone
HG03225	MSL	AFR	HPRC-Rest	Mende in Sierra Leone
HG03239	PJL	SAS	HPRC-Rest	Punjabi in Lahore, Pakistan
HG03270	ESN	AFR	HPRC-Rest	Esan in Nigeria
HG03369	ESN	AFR	HPRC-Rest	Esan in Nigeria
HG03453	MSL	AFR	HPRC-Rest	Mende in Sierra Leone
HG03470	MSL	AFR	HPRC-Rest	Mende in Sierra Leone
HG03471	MSL	AFR	HPRC-Rest	Mende in Sierra Leone
HG03486	MSL	AFR	HPRC-Rest	Mende in Sierra Leone
HG03516	ESN	AFR	HPRC-Rest	Esan in Nigeria
HG03521	ESN	AFR	HPRC-Rest	Esan in Nigeria
HG03540	GWD	AFR	HPRC-Rest	Gambian in Western Division Ð Mandinka
HG03579	MSL	AFR	HPRC-Rest	Mende in Sierra Leone
HG03583	MSL	AFR	HPRC-Rest	Mende in Sierra Leone
HG03654	PJL	SAS	HPRC-Rest	Punjabi in Lahore, Pakistan
HG03669	PJL	SAS	HPRC-Rest	Punjabi in Lahore, Pakistan
HG03688	STU	SAS	HPRC-Rest	Sri Lankan Tamil in the UK
HG03704	PJL	SAS	HPRC-Rest	Punjabi in Lahore, Pakistan
HG03710	PJL	SAS	HPRC-Rest	Punjabi in Lahore, Pakistan
HG03742	ITU	SAS	HPRC-Rest	Indian Telugu in the UK
HG03784	ITU	SAS	HPRC-Rest	Indian Telugu in the UK
HG03804	BEB	SAS	HPRC-Rest	Bengali in Bangladesh
HG03816	BEB	SAS	HPRC-Rest	Bengali in Bangladesh
HG03831	BEB	SAS	HPRC-Rest	Bengali in Bangladesh
HG03834	BEB	SAS	HPRC-Rest	Bengali in Bangladesh
HG03874	ITU	SAS	HPRC-Rest	Indian Telugu in the UK
HG03927	BEB	SAS	HPRC-Rest	Bengali in Bangladesh
HG03942	BEB	SAS	HPRC-Rest	Bengali in Bangladesh
HG04115	STU	SAS	HPRC-Rest	Sri Lankan Tamil in the UK
HG04157	BEB	SAS	HPRC-Rest	Bengali in Bangladesh
HG04160	BEB	SAS	HPRC-Rest	Bengali in Bangladesh
HG04184	BEB	SAS	HPRC-Rest	Bengali in Bangladesh
HG04187	BEB	SAS	HPRC-Rest	Bengali in Bangladesh
HG04199	STU	SAS	HPRC-Rest	Sri Lankan Tamil in the UK
HG04204	STU	SAS	HPRC-Rest	Sri Lankan Tamil in the UK
HG04228	STU	SAS	HPRC-Rest	Sri Lankan Tamil in the UK
HG06807	ASL	AFR	HPRC-Rest	African Americans living in St. Louis, Missouri
NA18505	YRI	AFR	HPRC-Rest	Yoruba in Ibadan, Nigeria
NA18508	YRI	AFR	HPRC-Rest	Yoruba in Ibadan, Nigeria
NA18522	YRI	AFR	HPRC-Rest	Yoruba in Ibadan, Nigeria
NA18565	CHB	EAS	HPRC-EastAsian	Han Chinese in Beijing, China
NA18570	CHB	EAS	HPRC-EastAsian	Han Chinese in Beijing, China
NA18608	CHB	EAS	HPRC-EastAsian	Han Chinese in Beijing, China
NA18620	CHB	EAS	HPRC-EastAsian	Han Chinese in Beijing, China
NA18747	CHB	EAS	HPRC-EastAsian	Han Chinese in Beijing, China
NA18879	YRI	AFR	HPRC-Rest	Yoruba in Ibadan, Nigeria
NA18906	YRI	AFR	HPRC-Rest	Yoruba in Ibadan, Nigeria
NA18940	JPT	EAS	HPRC-Japanese	Japanese in Tokyo, Japan
NA18943	JPT	EAS	HPRC-Japanese	Japanese in Tokyo, Japan
NA18944	JPT	EAS	HPRC-Japanese	Japanese in Tokyo, Japan
NA18945	JPT	EAS	HPRC-Japanese	Japanese in Tokyo, Japan
NA18948	JPT	EAS	HPRC-Japanese	Japanese in Tokyo, Japan
NA18952	JPT	EAS	HPRC-Japanese	Japanese in Tokyo, Japan
NA18959	JPT	EAS	HPRC-Japanese	Japanese in Tokyo, Japan
NA18960	JPT	EAS	HPRC-Japanese	Japanese in Tokyo, Japan
NA18967	JPT	EAS	HPRC-Japanese	Japanese in Tokyo, Japan
NA18970	JPT	EAS	HPRC-Japanese	Japanese in Tokyo, Japan
NA18971	JPT	EAS	HPRC-Japanese	Japanese in Tokyo, Japan
NA18974	JPT	EAS	HPRC-Japanese	Japanese in Tokyo, Japan
NA18976	JPT	EAS	HPRC-Japanese	Japanese in Tokyo, Japan
NA18982	JPT	EAS	HPRC-Japanese	Japanese in Tokyo, Japan
NA18983	JPT	EAS	HPRC-Japanese	Japanese in Tokyo, Japan
NA19036	LWK	AFR	HPRC-Rest	Luhya in Webuye, Kenya
NA19043	LWK	AFR	HPRC-Rest	Luhya in Webuye, Kenya
NA19087	JPT	EAS	HPRC-Japanese	Japanese in Tokyo, Japan
NA19159	YRI	AFR	HPRC-Rest	Yoruba in Ibadan, Nigeria
NA19185	YRI	AFR	HPRC-Rest	Yoruba in Ibadan, Nigeria
NA19240	YRI	AFR	HPRC-Rest	Yoruba in Ibadan, Nigeria
NA19338	LWK	AFR	HPRC-Rest	Luhya in Webuye, Kenya
NA19391	LWK	AFR	HPRC-Rest	Luhya in Webuye, Kenya
NA19443	LWK	AFR	HPRC-Rest	Luhya in Webuye, Kenya
NA19468	LWK	AFR	HPRC-Rest	Luhya in Webuye, Kenya
NA19682	MXL	AMR	HPRC-Rest	Mexican Ancestry in Los Angeles, California, USA
NA19700	ASW	AFR	HPRC-Rest	African Ancestry in Southwest USA
NA19776	MXL	AMR	HPRC-Rest	Mexican Ancestry in Los Angeles, California, USA
NA19835	ASW	AFR	HPRC-Rest	African Ancestry in Southwest USA
NA19909	ASW	AFR	HPRC-Rest	African Ancestry in Southwest USA
NA20129	ASW	AFR	HPRC-Rest	African Ancestry in Southwest USA
NA20282	ASW	AFR	HPRC-Rest	African Ancestry in Southwest USA
NA20346	ASW	AFR	HPRC-Rest	African Ancestry in Southwest USA
NA20503	TSI	EUR	HPRC-Rest	Toscani in Italia
NA20752	TSI	EUR	HPRC-Rest	Toscani in Italia
NA20762	TSI	EUR	HPRC-Rest	Toscani in Italia
NA20799	TSI	EUR	HPRC-Rest	Toscani in Italia
NA20805	TSI	EUR	HPRC-Rest	Toscani in Italia
NA20806	TSI	EUR	HPRC-Rest	Toscani in Italia
NA20809	TSI	EUR	HPRC-Rest	Toscani in Italia
NA20827	TSI	EUR	HPRC-Rest	Toscani in Italia
NA20850	GIH	SAS	HPRC-Rest	Gujarati Indians in Houston, Texas, USA
NA20870	GIH	SAS	HPRC-Rest	Gujarati Indians in Houston, Texas, USA
NA20905	GIH	SAS	HPRC-Rest	Gujarati Indians in Houston, Texas, USA
NA21093	GIH	SAS	HPRC-Rest	Gujarati Indians in Houston, Texas, USA
NA21102	GIH	SAS	HPRC-Rest	Gujarati Indians in Houston, Texas, USA
NA21106	GIH	SAS	HPRC-Rest	Gujarati Indians in Houston, Texas, USA
NA21110	GIH	SAS	HPRC-Rest	Gujarati Indians in Houston, Texas, USA
NA21144	GIH	SAS	HPRC-Rest	Gujarati Indians in Houston, Texas, USA
NA21309	MKK	AFR	HPRC-Rest	Maasai in Kinyawa, Kenya
