sample	haplotype	contig	contig_len	start	end	strand	piece_len	mhc_covered_bp	mhc_covered_frac	n_pieces	anchors	query	cohort
apr046	2	h2tg000002l		138874465	144007848	-	5133384	5169604	0.9998	1	10449	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr047	1	h1tg000022l		124629191	129940792	-	5311602	5169788	0.9999	1	9462	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr047	2	h2tg000009l		28374338	33555921	+	5181584	5169788	0.9999	1	10451	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr048	1	h1tg000017l		28263896	33470594	+	5206699	5169604	0.9998	1	10503	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr048	2	h2tg000004l		138392377	143552020	-	5159644	5169604	0.9998	1	10204	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr049	1	h1tg000006l		28277333	33430073	+	5152741	5169788	0.9999	1	10691	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr049	2	h2tg000002l		138418227	143654758	-	5236532	5169788	0.9999	1	10206	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr050	1	h1tg000015l		138045880	143321309	-	5275430	5169604	0.9998	1	10768	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr050	2	h2tg000017l		28548291	33713388	+	5165098	5169788	0.9999	1	9410	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr051	1	h1tg000003l		138076138	143233361	-	5157224	5169788	0.9999	1	10835	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr051	2	h2tg000005l		138189744	143327910	-	5138167	5169788	0.9999	1	10138	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr52	1	h1tg000012l		138556531	143810417	-	5253887	5169788	0.9999	1	9754	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr52	2	h2tg000003l		137805510	143003962	-	5198453	5169788	0.9999	1	9934	MHC_GRCh38#0#chr6:28410120-33580577	APR
GRCh38	0	GRCh38#0#chr6		28410701	33580488	+	5169788	5169788	0.9999	1	15763	MHC_GRCh38#0#chr6:28410120-33580577	REF
HG00097	1	HG00097#1#JBIRDD010000044.1		28461910	33634610	+	5172701	5169788	0.9999	1	13867	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00097	2	HG00097#2#JBIRDE010000007.1		28438526	33548333	+	5109808	5170153	0.9999	1	10557	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00099	1	HG00099#1#JBHDWO010000057.1		28378111	33500321	+	5122211	5169788	0.9999	1	10213	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00099	2	HG00099#2#CM087361.1		28397166	33493833	+	5096668	5169788	0.9999	1	9681	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00126	1	HG00126#1#CM090112.1		28356760	33437962	+	5081203	5169788	0.9999	1	9787	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00126	2	HG00126#2#CM090124.1		28373995	33623206	+	5249212	5169788	0.9999	1	10497	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00128	1	HG00128#1#CM090080.1		28391628	33572064	+	5180437	5169788	0.9999	1	10607	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00128	2	HG00128#2#CM090096.1		28379634	33499179	+	5119546	5169788	0.9999	1	10468	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00133	1	HG00133#1#CM090050.1		28455191	33589633	+	5134443	5169788	0.9999	1	10268	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00133	2	HG00133#2#CM090065.1		28391702	33637176	+	5245475	5169788	0.9999	1	10178	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00140	1	HG00140#1#CM087111.1		28362821	33594371	+	5231551	5169788	0.9999	1	10656	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00140	2	HG00140#2#CM087137.1		28381998	33511941	+	5129944	5169788	0.9999	1	10480	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00146	1	HG00146#1#CM090015.1		28391294	33489055	+	5097762	5169788	0.9999	1	9830	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00146	2	HG00146#2#JBHIKP010000006.1		28398454	33526840	+	5128387	5169604	0.9998	1	9414	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00232	1	HG00232#1#JBHIKM010000014.1		28302939	33474178	+	5171240	5169788	0.9999	1	14425	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00232	2	HG00232#2#JBHIKN010000040.1		28366410	33541603	+	5175194	5169788	0.9999	1	12205	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00235	1	HG00235#1#JBIRED010000015.1		28430445	33672471	+	5242027	5169788	0.9999	1	10061	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00235	2	HG00235#2#JBIREE010000012.1		28440799	33687305	+	5246507	5169788	0.9999	1	12106	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00253	1	HG00253#1#CM094460.1		28362997	33511495	+	5148499	5169788	0.9999	1	9707	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00253	2	HG00253#2#CM094482.1		28362559	33525998	+	5163440	5169788	0.9999	1	13047	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00272	1	HG00272#1#CM094189.1		28268096	33422158	+	5154063	5169788	0.9999	1	10084	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00272	2	HG00272#2#CM094216.1		28400431	33497055	+	5096625	5169788	0.9999	1	9675	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00280	1	HG00280#1#CM087149.1		28404965	33542525	+	5137561	5169604	0.9998	1	10004	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00280	2	HG00280#2#CM087160.1		28390542	33496389	+	5105848	5169788	0.9999	1	10722	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00290	1	HG00290#1#CM089982.1		28384478	33524366	+	5139889	5169788	0.9999	1	11451	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00290	2	HG00290#2#CM090006.1		28396532	33558743	+	5162212	5169788	0.9999	1	10371	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00320	1	HG00320#1#CM089951.1		28434922	33547606	+	5112685	5169788	0.9999	1	9624	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00320	2	HG00320#2#CM089965.1		28395668	33476154	+	5080487	5169788	0.9999	1	10935	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00321	1	HG00321#1#CM089541.1		28422537	33579208	+	5156672	5169788	0.9999	1	11890	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00321	2	HG00321#2#CM089572.1		28378789	33420293	+	5041505	5170153	0.9999	1	10087	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00323	1	HG00323#1#CM087306.1		28385818	33469846	+	5084029	5169788	0.9999	1	10766	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00323	2	HG00323#2#CM087331.1		28400279	33501006	+	5100728	5169788	0.9999	1	11840	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00329	1	HG00329#1#CM094227.1		28398918	33572031	+	5173114	5169788	0.9999	1	11143	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00329	2	HG00329#2#JBIRDQ010000006.1		28383055	33548759	+	5165705	5169788	0.9999	1	10271	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00344	1	HG00344#1#JBIREN010000005.1		28404553	33569861	+	5165309	5169604	0.9998	1	12194	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00344	2	HG00344#2#JBIREO010000046.1		28507887	33680519	+	5172633	5169788	0.9999	1	13857	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00350	1	HG00350#1#JBIREL010000054.1		28392042	33553743	+	5161702	5169788	0.9999	1	10557	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00350	2	HG00350#2#JBIREM010000045.1		28412158	33655472	+	5243315	5169604	0.9998	1	10020	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00408	2	HG00408#2#CM085969.1		28371022	33519581	+	5148560	5169788	0.9999	1	11008	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-EastAsian
HG00408	1	HG00408#1#CM085956.1		28367209	33537812	+	5170604	5169788	0.9999	1	10396	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-EastAsian
HG00423	2	HG00423#2#CM089416.1		28353255	33428495	+	5075241	5169788	0.9999	1	10298	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-EastAsian
HG00423	1	HG00423#1#CM089400.1		28362185	33602188	+	5240004	5169788	0.9999	1	10353	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-EastAsian
HG00438	2	HG00438#2#CM089191.1		28355071	33575312	+	5220242	5169788	0.9999	1	10324	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-EastAsian
HG00438	1	HG00438#1#CM089172.1		28419975	33475943	+	5055969	5169604	0.9998	1	10369	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-EastAsian
HG00544	2	HG00544#2#CM089387.1		28377663	33617357	+	5239695	5169788	0.9999	1	10402	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-EastAsian
HG00544	1	HG00544#1#CM089373.1		28382951	33635750	+	5252800	5170153	0.9999	1	10069	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-EastAsian
HG00558	2	HG00558#2#CM088524.1		28472433	33604465	+	5132033	5169788	0.9999	1	9864	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-EastAsian
HG00558	1	HG00558#1#CM088495.1		28611632	33843761	+	5232130	5170153	0.9999	1	10813	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-EastAsian
HG00597	2	HG00597#2#CM085784.1		28381176	33466863	+	5085688	5169788	0.9999	1	10183	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-EastAsian
HG00597	1	HG00597#1#JBHDUU010000003.1		28248152	33413616	+	5165465	5169788	0.9999	1	10573	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-EastAsian
HG005	2	HG005#2#CM099975.1		28427209	33625676	+	5198468	5169360	0.9998	1	9950	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-EastAsian
HG005	1	HG005#1#CM099986.1		28343337	33540760	+	5197424	5169788	0.9999	1	10127	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-EastAsian
HG00609	2	HG00609#2#CM086361.1		28373908	33563607	+	5189700	5169788	0.9999	1	10428	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-EastAsian
HG00609	1	HG00609#1#CM086351.1		28557002	33710805	+	5153804	5169788	0.9999	1	10835	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-EastAsian
HG00621	2	HG00621#2#CM087865.1		28365619	33503852	+	5138234	5170153	0.9999	1	10109	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-EastAsian
HG00621	1	HG00621#1#CM087851.1		28412809	33652212	+	5239404	5169788	0.9999	1	10826	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-EastAsian
HG00639	2	HG00639#2#CM088555.1		28389308	33644836	+	5255529	5169604	0.9998	1	10797	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00639	1	HG00639#1#CM088540.1		28385584	33628081	+	5242498	5169788	0.9999	1	10680	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00642	2	HG00642#2#CM086622.1		28408489	33506502	+	5098014	5170153	0.9999	1	9689	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00642	1	HG00642#1#JBHDST010000009.1		28352295	33459982	+	5107688	5169788	0.9999	1	9712	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00658	2	HG00658#2#CM088798.1		28345511	33527662	+	5182152	5169788	0.9999	1	10313	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-EastAsian
HG00658	1	HG00658#1#CM088776.1		28382214	33455895	+	5073682	5170153	0.9999	1	10202	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-EastAsian
HG00673	2	HG00673#2#CM089157.1		28378967	33442230	+	5063264	5169604	0.9998	1	10022	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-EastAsian
HG00673	1	HG00673#1#CM089145.1		28380395	33412996	+	5032602	5170153	0.9999	1	10086	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-EastAsian
HG00706	2	HG00706#2#CM100060.1		28411727	33571906	+	5160180	5169788	0.9999	1	10975	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-EastAsian
HG00706	1	HG00706#1#CM100016.1		28396497	33554012	+	5157516	5169604	0.9998	1	10723	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-EastAsian
HG00733	2	HG00733#2#JAHEPP020000013.1		28389728	33496160	+	5106433	5169788	0.9999	1	9787	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00733	1	HG00733#1#JAHEPQ020000004.1		28448883	33531506	+	5082624	5169604	0.9998	1	9751	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00735	2	HG00735#2#CM087888.1		28407279	33712571	+	5305293	5169788	0.9999	1	9781	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00735	1	HG00735#1#CM087879.1		28400157	33626272	+	5226116	5169604	0.9998	1	11069	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00738	2	HG00738#2#CM086684.1		28399019	33553590	+	5154572	5169604	0.9998	1	10141	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00738	1	HG00738#1#CM086647.1		28420303	33517291	+	5096989	5169788	0.9999	1	9880	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00741	2	HG00741#2#CM087911.1		28428150	33619756	+	5191607	5169788	0.9999	1	9525	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG00741	1	HG00741#1#CM087899.1		28395234	33528259	+	5133026	5169604	0.9998	1	10235	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG01071	2	HG01071#2#JAHBCE020000004.1		28353469	33512869	+	5159401	5169788	0.9999	1	11654	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG01071	1	HG01071#1#CM089116.1		28400399	33605490	+	5205092	5169788	0.9999	1	10972	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
HG01074	2	HG01074#2#CM088812.1		28367163	33616085	+	5248923	5169604	0.9998	1	10310	MHC_GRCh38#0#chr6:28410120-33580577	HPRC-Rest
