name	cohort	sample	haplotype	contig	start	end	strand	length
apr011#1#classII	APR	apr011	1	apr011#1#h1tg000019l:138093078-143261017_rc	4039452	4561772	+	522321
apr011#2#classII	APR	apr011	2	apr011#2#h2tg000011l:137856776-142978436_rc	3991621	4515247	+	523627
apr012#1#classII	APR	apr012	1	apr012#1#h1tg000008l:28396959-33512282	3984672	4508298	+	523627
apr012#2#classII	APR	apr012	2	apr012#2#h2tg000016l:138252661-143421402_rc	4038220	4562688	+	524469
apr013#1#classII	APR	apr013	1	apr013#1#h1tg000002l:139940690-145014712_rc	3913460	4467481	+	554022
apr013#2#classII	APR	apr013	2	apr013#2#h2tg000027l:138555153-143729247_rc	4014205	4568612	+	554408
apr014#1#classII	APR	apr014	1	apr014#1#h1tg000020l:28366313-33554706	4058118	4581700	+	523583
apr014#2#classII	APR	apr014	2	apr014#2#h2tg000006l:26691275-31885063_rc	4060224	4589766	+	529543
apr015#1#classII	APR	apr015	1	apr015#1#h1tg000012l:28398223-33522774	3994600	4518152	+	523553
apr015#2#classII	APR	apr015	2	apr015#2#h2tg000018l:138433262-143524291_rc	3961382	4484934	+	523553
apr016#1#classII	APR	apr016	1	apr016#1#h1tg000012l:137906206-143057420_rc	3990175	4545144	+	554970
apr016#2#classII	APR	apr016	2	apr016#2#h2tg000005l:138332729-143447191_rc	3986103	4508290	+	522188
apr018#1#classII	APR	apr018	1	apr018#1#h1tg000018l:28377039-33450879	4000446	4467294	+	466849
apr018#2#classII	APR	apr018	2	apr018#2#h2tg000022l:28395345-33526946	3983033	4525449	+	542417
apr019#1#classII	APR	apr019	1	apr019#1#h1tg000006l:137597617-142800733_rc	3959802	4597182	+	637381
apr019#2#classII	APR	apr019	2	apr019#2#h2tg000009l:25947834-31066127_rc	3966947	4509854	+	542908
apr020#1#classII	APR	apr020	1	apr020#1#h1tg000001l:28463230-33620049	3995731	4550683	+	554953
apr020#2#classII	APR	apr020	2	apr020#2#h2tg000007l:137677150-142774159_rc	3965460	4490449	+	524990
apr021#1#classII	APR	apr021	1	apr021#1#h1tg000013l:137920389-143048373_rc	3998281	4521610	+	523330
apr021#2#classII	APR	apr021	2	apr021#2#h2tg000011l:138901647-144060314_rc	4028129	4552561	+	524433
apr022#1#classII	APR	apr022	1	apr022#1#h1tg000011l:137924391-143077833_rc	3992338	4547296	+	554959
apr022#2#classII	APR	apr022	2	apr022#2#h2tg000013l:138031891-143184813_rc	4022538	4546164	+	523627
apr023#1#classII	APR	apr023	1	apr023#1#h1tg000014l:137929515-143086735_rc	3996272	4550199	+	553928
apr023#2#classII	APR	apr023	2	apr023#2#h2tg000022l:26641068-31656450_rc	3939431	4408684	+	469254
apr024#1#classII	APR	apr024	1	apr024#1#h1tg000001l:137801575-142959579_rc	3996959	4552224	+	555266
apr024#2#classII	APR	apr024	2	apr024#2#h2tg000014l:137766819-142943455_rc	4015131	4570278	+	555148
apr025#1#classII	APR	apr025	1	apr025#1#h1tg000007l:139497787-144647520_rc	4000954	4542913	+	541960
apr025#2#classII	APR	apr025	2	apr025#2#h2tg000006l:138571729-143809751_rc	3991895	4631901	+	640007
apr026#1#classII	APR	apr026	1	apr026#1#h1tg000019l:28393961-33702327	4054355	4702013	+	647659
apr026#2#classII	APR	apr026	2	apr026#2#h2tg000012l:28359568-33574257	3970605	4607989	+	637385
apr027#1#classII	APR	apr027	1	apr027#1#h1tg000004l:28384126-33662392	4023233	4671237	+	648005
apr027#2#classII	APR	apr027	2	apr027#2#h2tg000013l:11085473-16306923_rc	4077845	4614647	+	536803
apr029#1#classII	APR	apr029	1	apr029#1#h1tg000032l:28462821-33705004	3989012	4636624	+	647613
apr029#2#classII	APR	apr029	2	apr029#2#h2tg000012l:28417575-33541972	3994387	4518008	+	523622
apr030#1#classII	APR	apr030	1	apr030#1#h1tg000001l:28446903-33506362	3921457	4453154	+	531698
apr030#2#classII	APR	apr030	2	apr030#2#h2tg000012l:28433288-33581296	3998864	4541286	+	542423
apr031#1#classII	APR	apr031	1	apr031#1#h1tg000019l:26371881-31586781_rc	4071235	4608816	+	537582
apr031#2#classII	APR	apr031	2	apr031#2#h2tg000036l:28402991-33519712	3955367	4510542	+	555176
apr032#1#classII	APR	apr032	1	apr032#1#h1tg000006l:28452318-33694285	3987850	4635056	+	647207
apr032#2#classII	APR	apr032	2	apr032#2#h2tg000014l:28405263-33673740	4013955	4662097	+	648143
apr033#1#classII	APR	apr033	1	apr033#1#h1tg000008l:27149396-32366749_rc	4077660	4611188	+	533529
apr033#2#classII	APR	apr033	2	apr033#2#h2tg000008l:28349631-33452614	3960547	4496806	+	536260
apr034#1#classII	APR	apr034	1	apr034#1#h1tg000032l:26576741-31706138_rc	3985947	4522549	+	536603
apr034#2#classII	APR	apr034	2	apr034#2#h2tg000008l:28434563-33559669	3998677	4520872	+	522196
apr035#1#classII	APR	apr035	1	apr035#1#h1tg000018l:27655502-32798707_rc	4007504	4536967	+	529464
apr035#2#classII	APR	apr035	2	apr035#2#h2tg000011l:27516869-32663681_rc	4009404	4538005	+	528602
apr036#1#classII	APR	apr036	1	apr036#1#h1tg000026l:25218090-30345004_rc	3994816	4520037	+	525222
apr036#2#classII	APR	apr036	2	apr036#2#h2tg000017l:1678659-6817558	4000459	4530033	+	529575
apr037#1#classII	APR	apr037	1	apr037#1#h1tg000004l:138070351-143231345_rc	4017099	4554138	+	537040
apr037#2#classII	APR	apr037	2	apr037#2#h2tg000014l:138095539-143312355_rc	4056922	4610706	+	553785
apr038#1#classII	APR	apr038	1	apr038#1#h1tg000017l:1654472-6798671	4000782	4537332	+	536551
apr038#2#classII	APR	apr038	2	apr038#2#h2tg000022l:127876238-133012041_rc	4001394	4529772	+	528379
apr039#1#classII	APR	apr039	1	apr039#1#h1tg000005l:28445311-33640507	4033345	4588279	+	554935
apr039#2#classII	APR	apr039	2	apr039#2#h2tg000012l:28411824-33614466	4058954	4595927	+	536974
apr040#1#classII	APR	apr040	1	apr040#1#h1tg000032l:25914346-31039269_rc	3963588	4518886	+	555299
apr040#2#classII	APR	apr040	2	apr040#2#h2tg000023l:25605134-30732063_rc	3966732	4519636	+	552905
apr041#1#classII	APR	apr041	1	apr041#1#h1tg000024l:23526305-28655372_rc	3993797	4522233	+	528437
apr041#2#classII	APR	apr041	2	apr041#2#h2tg000015l:28437008-33578583	3981387	4535149	+	553763
apr042#1#classII	APR	apr042	1	apr042#1#h1tg000024l:28343014-33430082	3953501	4480697	+	527197
apr042#2#classII	APR	apr042	2	apr042#2#h2tg000022l:28456692-33606982	4014465	4543884	+	529420
apr043#1#classII	APR	apr043	1	apr043#1#h1tg000012l:139593152-144731880_rc	4002742	4532213	+	529472
apr043#2#classII	APR	apr043	2	apr043#2#h2tg000007l:28374571-33634772	4005073	4653845	+	648773
apr044#1#classII	APR	apr044	1	apr044#1#h1tg000020l:28254023-33444694	4028755	4584150	+	555396
apr044#2#classII	APR	apr044	2	apr044#2#h2tg000019l:138732995-143879453_rc	4016625	4539812	+	523188
apr045#1#classII	APR	apr045	1	apr045#1#h1tg000014l:28436066-33585265	4010818	4540286	+	529469
apr045#2#classII	APR	apr045	2	apr045#2#h2tg000020l:28349553-33649005	4053944	4693458	+	639515
apr046#1#classII	APR	apr046	1	apr046#1#h1tg000020l:28428626-33509292	3945814	4473829	+	528016
apr046#2#classII	APR	apr046	2	apr046#2#h2tg000002l:138874465-144007848_rc	3996592	4527475	+	530884
apr047#1#classII	APR	apr047	1	apr047#1#h1tg000022l:124629191-129940792_rc	4065375	4704917	+	639543
apr047#2#classII	APR	apr047	2	apr047#2#h2tg000009l:28374338-33555921	4021283	4575324	+	554042
apr048#1#classII	APR	apr048	1	apr048#1#h1tg000017l:28263896-33470594	4046175	4600305	+	554131
apr048#2#classII	APR	apr048	2	apr048#2#h2tg000004l:138392377-143552020_rc	3998569	4553523	+	554955
apr049#1#classII	APR	apr049	1	apr049#1#h1tg000006l:28277333-33430073	3991694	4546604	+	554911
apr049#2#classII	APR	apr049	2	apr049#2#h2tg000002l:138418227-143654758_rc	4073975	4630034	+	556060
apr050#1#classII	APR	apr050	1	apr050#1#h1tg000015l:138045880-143321309_rc	4030078	4669385	+	639308
apr050#2#classII	APR	apr050	2	apr050#2#h2tg000017l:28548291-33713388	4033067	4558652	+	525586
apr051#1#classII	APR	apr051	1	apr051#1#h1tg000003l:138076138-143233361_rc	3997642	4551165	+	553524
apr051#2#classII	APR	apr051	2	apr051#2#h2tg000005l:138189744-143327910_rc	3998826	4531441	+	532616
apr52#1#classII	APR	apr52	1	apr52#1#h1tg000012l:138556531-143810417_rc	3999087	4646953	+	647867
apr52#2#classII	APR	apr52	2	apr52#2#h2tg000003l:137805510-143003962_rc	3953848	4591838	+	637991
HIFI032007D#1#classII	CPC-Chinese	HIFI032007D	1	HIFI032007D#1#h1tg000073l_0_0:608286-5760441_rc	4019672	4545673	+	526002
HIFI032007D#2#classII	CPC-Chinese	HIFI032007D	2	HIFI032007D#2#h2tg000455l_0_0:608118-2144059_rc	403887	929696	+	525810
HIFI032018D#1#classII	CPC-Chinese	HIFI032018D	1	HIFI032018D#1#h1tg000037l_0_0:304267-5382862	3946970	4472767	+	525798
HIFI032018D#2#classII	CPC-Chinese	HIFI032018D	2	HIFI032018D#2#h2tg000056l_0_0:307668-5563326	4011051	4649324	+	638274
HIFI032069D#1#classII	CPC-Chinese	HIFI032069D	1	HIFI032069D#1#h1tg000026l_0_0:610788-5743677_rc	4001353	4526461	+	525109
HIFI032069D#2#classII	CPC-Chinese	HIFI032069D	2	HIFI032069D#2#h2tg000171l_0_0:608783-5720475_rc	3948697	4505256	+	556560
HIFI032097D#1#classII	CPC-Chinese	HIFI032097D	1	HIFI032097D#1#h1tg000023l_0_0:611330-5798061_rc	4049844	4580083	+	530240
HIFI032097D#2#classII	CPC-Chinese	HIFI032097D	2	HIFI032097D#2#h2tg000077l_0_0:609524-5764255_rc	3994266	4548412	+	554147
HIFI032103D#1#classII	CPC-Chinese	HIFI032103D	1	HIFI032103D#1#h1tg000059l_0_0:611631-3016887_rc	1256087	1798558	+	542472
HIFI032103D#2#classII	CPC-Chinese	HIFI032103D	2	HIFI032103D#2#h2tg000045l_0_0:303195-5607722	4059893	4698173	+	638281
HIFI032161D#1#classII	CPC-Chinese	HIFI032161D	1	HIFI032161D#1#h1tg000029l_0_0:607863-5752234_rc	4011115	4537569	+	526455
HIFI032161D#2#classII	CPC-Chinese	HIFI032161D	2	HIFI032161D#2#h2tg000024l_0_0:611651-5758120_rc	4007822	4539911	+	532090
HIFI032164D#1#classII	CPC-Chinese	HIFI032164D	1	HIFI032164D#1#h1tg000126l_0_0:607871-5767484_rc	4016990	4554015	+	537026
HIFI032164D#2#classII	CPC-Chinese	HIFI032164D	2	HIFI032164D#2#h2tg000212l_0_0:274-1444462	314858	837220	+	522363
HIFI032167D#1#classII	CPC-Chinese	HIFI032167D	1	HIFI032167D#1#h1tg000006l_0_0:609993-5773840_rc	4031478	4557294	+	525817
HIFI032167D#2#classII	CPC-Chinese	HIFI032167D	2	HIFI032167D#2#h2tg000442l_0_0:609992-1853384_rc	111022	636840	+	525819
HIFI032182D#1#classII	CPC-Chinese	HIFI032182D	1	HIFI032182D#1#h1tg000062l_0_0:608743-5774270_rc	4002748	4559075	+	556328
HIFI032182D#2#classII	CPC-Chinese	HIFI032182D	2	HIFI032182D#2#h2tg000020l_0_0:304162-5451064	3986167	4539918	+	553752
HIFI032289D#1#classII	CPC-Chinese	HIFI032289D	1	HIFI032289D#1#h1tg000057l_0_0:611762-5895636_rc	4039864	4678132	+	638269
HIFI032289D#2#classII	CPC-Chinese	HIFI032289D	2	HIFI032289D#2#h2tg000050l_0_0:302987-5547842	4000263	4639034	+	638772
HIFI032292D#1#classII	CPC-Chinese	HIFI032292D	1	HIFI032292D#1#h1tg000202l_0_0:610779-5026306_rc	3282665	3809141	+	526477
HIFI032292D#2#classII	CPC-Chinese	HIFI032292D	2	HIFI032292D#2#h2tg000202l_0_0:301746-5442974	4008556	4535032	+	526477
HIFI032302D#1#classII	CPC-Chinese	HIFI032302D	1	HIFI032302D#1#h1tg000118l_0_0:546-2591024	1517930	1984667	+	466738
HIFI032302D#2#classII	CPC-Chinese	HIFI032302D	2	HIFI032302D#2#h2tg000125l_0_0:607201-5502153_rc	3765002	4288617	+	523616
HIFI032306D#1#classII	CPC-Chinese	HIFI032306D	1	HIFI032306D#1#h1tg000062l_0_0:611306-5769353_rc	3998182	4551276	+	553095
HIFI032306D#2#classII	CPC-Chinese	HIFI032306D	2	HIFI032306D#2#h2tg000068l_0_0:608736-5852116_rc	3997121	4636540	+	639420
HIFI032335D#1#classII	CPC-Chinese	HIFI032335D	1	HIFI032335D#1#h1tg000010l_0_0:301759-5500911	3945488	4593124	+	647637
HIFI032335D#2#classII	CPC-Chinese	HIFI032335D	2	HIFI032335D#2#h2tg000219l_0_0:2273-2943040	2096029	2626417	+	530389
HIFI032349D#1#classII	CPC-Chinese	HIFI032349D	1	HIFI032349D#1#h1tg000020l_0_0:301733-5566658	4020236	4658510	+	638275
HIFI032349D#2#classII	CPC-Chinese	HIFI032349D	2	HIFI032349D#2#h2tg000060l_0_0:608410-5739806_rc	4003258	4525637	+	522380
HIFI032373D#1#classII	CPC-Chinese	HIFI032373D	1	HIFI032373D#1#h1tg000049l_0_0:608867-5740038_rc	3992624	4524324	+	531701
HIFI032373D#2#classII	CPC-Chinese	HIFI032373D	2	HIFI032373D#2#h2tg000044l_0_0:608973-1945151_rc	172789	729366	+	556578
HIFI032420D#1#classII	CPC-Chinese	HIFI032420D	1	HIFI032420D#1#h1tg000074l_0_0:303007-5500336	3949634	4590261	+	640628
HIFI032420D#2#classII	CPC-Chinese	HIFI032420D	2	HIFI032420D#2#h2tg000028l_0_0:302171-5561704	4014047	4652522	+	638476
HIFI032422D#1#classII	CPC-Chinese	HIFI032422D	1	HIFI032422D#1#h1tg000015l_0_0:303813-5358931	3918577	4449276	+	530700
HIFI032422D#2#classII	CPC-Chinese	HIFI032422D	2	HIFI032422D#2#h2tg000138l_0_0:303022-5459818	4024646	4549944	+	525299
HIFI032429D#1#classII	CPC-Chinese	HIFI032429D	1	HIFI032429D#1#h1tg000176l_0_0:611631-5819632_rc	4046231	4601625	+	555395
HIFI032429D#2#classII	CPC-Chinese	HIFI032429D	2	HIFI032429D#2#h2tg000236l_0_0:366-3775085	2640963	3168332	+	527370
HIFI032440D#1#classII	CPC-Chinese	HIFI032440D	1	HIFI032440D#1#h1tg000035l_0_0:610298-5756202_rc	4008185	4540211	+	532027
HIFI032440D#2#classII	CPC-Chinese	HIFI032440D	2	HIFI032440D#2#h2tg000090l_0_0:301809-5292738	3917176	4384594	+	467419
HIFI032450D#1#classII	CPC-Chinese	HIFI032450D	1	HIFI032450D#1#h1tg000008l_0_0:301757-5443675	4005840	4535295	+	529456
HIFI032453D#1#classII	CPC-Chinese	HIFI032453D	1	HIFI032453D#1#h1tg000016l_0_0:608084-5737533_rc	3999186	4523597	+	524412
HIFI032453D#2#classII	CPC-Chinese	HIFI032453D	2	HIFI032453D#2#h2tg000022l_0_0:611013-5690080_rc	3941468	4472555	+	531088
HIFI032454D#1#classII	CPC-Chinese	HIFI032454D	1	HIFI032454D#1#h1tg000050l_0_0:610949-5688146_rc	3945721	4471511	+	525791
HIFI032454D#2#classII	CPC-Chinese	HIFI032454D	2	HIFI032454D#2#h2tg000014l_0_0:303195-5343983	3910460	4434090	+	523631
HIFI032462D#1#classII	CPC-Chinese	HIFI032462D	1	HIFI032462D#1#h1tg000018l_0_0:608249-5847965_rc	3994621	4633373	+	638753
HIFI032462D#2#classII	CPC-Chinese	HIFI032462D	2	HIFI032462D#2#h2tg000118l_0_0:610290-2116716_rc	367936	899625	+	531690
HIFI032473D#1#classII	CPC-Chinese	HIFI032473D	1	HIFI032473D#1#h1tg000017l_0_0:611279-5848073_rc	3990673	4630150	+	639478
HIFI032473D#2#classII	CPC-Chinese	HIFI032473D	2	HIFI032473D#2#h2tg000041l_0_0:611187-5777378_rc	4004992	4559125	+	554134
HIFI032487D#1#classII	CPC-Chinese	HIFI032487D	1	HIFI032487D#1#h1tg000160l_0_0:610978-5805510_rc	4064583	4588222	+	523640
HIFI032487D#2#classII	CPC-Chinese	HIFI032487D	2	HIFI032487D#2#h2tg000061l_0_0:608057-5671065_rc	3989790	4457179	+	467390
HIFI032501D#1#classII	CPC-Chinese	HIFI032501D	1	HIFI032501D#1#h1tg000023l_0_0:303660-5553387	4005541	4643865	+	638325
HIFI032501D#2#classII	CPC-Chinese	HIFI032501D	2	HIFI032501D#2#h2tg000105l_0_0:441-3022934	1886423	2416799	+	530377
HIFI032510D#1#classII	CPC-Chinese	HIFI032510D	1	HIFI032510D#1#h1tg000002l_0_0:607731-5770322_rc	4003753	4556791	+	553039
HIFI032510D#2#classII	CPC-Chinese	HIFI032510D	2	HIFI032510D#2#h2tg000003l_0_0:608800-5732063_rc	3986852	4517041	+	530190
HIFI032513D#1#classII	CPC-Chinese	HIFI032513D	1	HIFI032513D#1#h1tg000077l_0_0:303957-5592528	4044138	4682185	+	638048
HIFI032513D#2#classII	CPC-Chinese	HIFI032513D	2	HIFI032513D#2#h2tg000054l_0_0:609439-5765230_rc	3997017	4550581	+	553565
HIFI032529D#1#classII	CPC-Chinese	HIFI032529D	1	HIFI032529D#1#h1tg000121l_0_0:607870-5787538_rc	4018709	4573451	+	554743
HIFI032529D#2#classII	CPC-Chinese	HIFI032529D	2	HIFI032529D#2#h2tg000123l_0_0:672-2712603_rc	1732849	2287465	+	554617
HIFI032566D#1#classII	CPC-Chinese	HIFI032566D	1	HIFI032566D#1#h1tg000029l_0_0:611087-5707519_rc	3966510	4490122	+	523613
HIFI032566D#2#classII	CPC-Chinese	HIFI032566D	2	HIFI032566D#2#h2tg000123l_0_0:610347-5693123_rc	3947725	4477176	+	529452
HIFI032567D#1#classII	CPC-Chinese	HIFI032567D	1	HIFI032567D#1#h1tg000065l_0_0:610944-3834657_rc	2093711	2617234	+	523524
HIFI032567D#2#classII	CPC-Chinese	HIFI032567D	2	HIFI032567D#2#h2tg000021l_0_0:303467-5616058	4057038	4705857	+	648820
HIFI032585D#1#classII	CPC-Chinese	HIFI032585D	1	HIFI032585D#1#h1tg000015l_0_0:608714-5788197_rc	4043791	4573911	+	530121
HIFI032585D#2#classII	CPC-Chinese	HIFI032585D	2	HIFI032585D#2#h2tg000251l_0_0:608786-5272448_rc	3503217	4057346	+	554130
HIFI032586D#1#classII	CPC-Chinese	HIFI032586D	1	HIFI032586D#1#h1tg000082l_0_0:608380-5862391_rc	4009746	4648234	+	638489
HIFI032586D#2#classII	CPC-Chinese	HIFI032586D	2	HIFI032586D#2#h2tg000068l_0_0:610961-5682003_rc	3997474	4464176	+	466703
HIFI032591D#1#classII	CPC-Chinese	HIFI032591D	1	HIFI032591D#1#h1tg000008l_0_0:304261-5535645	3985994	4625532	+	639539
HIFI032591D#2#classII	CPC-Chinese	HIFI032591D	2	HIFI032591D#2#h2tg000191l_0_0:608144-5628514_rc	3947791	4414561	+	466771
HIFI032604D#1#classII	CPC-Chinese	HIFI032604D	1	HIFI032604D#1#h1tg000033l_0_0:608804-5838950_rc	3983622	4623091	+	639470
HIFI032604D#2#classII	CPC-Chinese	HIFI032604D	2	HIFI032604D#2#h2tg000003l_0_0:608544-5741103_rc	3999184	4526305	+	527122
HIFI032607D#1#classII	CPC-Chinese	HIFI032607D	1	HIFI032607D#1#h1tg000001l_0_0:304265-5604718	4054481	4693950	+	639470
HIFI032607D#2#classII	CPC-Chinese	HIFI032607D	2	HIFI032607D#2#h2tg000007l_0_0:611122-5743055_rc	3994050	4525877	+	531828
HIFI032662D#1#classII	CPC-Chinese	HIFI032662D	1	HIFI032662D#1#h1tg000154l_0_0:610481-5807545_rc	4063596	4590071	+	526476
HIFI032662D#2#classII	CPC-Chinese	HIFI032662D	2	HIFI032662D#2#h2tg000203l_0_0:478869-5255088_rc	3703302	4169857	+	466556
HIFI032668D#1#classII	CPC-Chinese	HIFI032668D	1	HIFI032668D#1#h1tg000009l_0_0:611120-5919133_rc	4060983	4701645	+	640663
HIFI032668D#2#classII	CPC-Chinese	HIFI032668D	2	HIFI032668D#2#h2tg000066l_0_0:608094-5719634_rc	3951448	4505243	+	553796
HIFI032682D#1#classII	CPC-Chinese	HIFI032682D	1	HIFI032682D#1#h1tg000013l_0_0:608436-5749936_rc	4007524	4534590	+	527067
HIFI032682D#2#classII	CPC-Chinese	HIFI032682D	2	HIFI032682D#2#h2tg000065l_0_0:608744-5741883_rc	3996135	4526275	+	530141
HIFI032685D#1#classII	CPC-Chinese	HIFI032685D	1	HIFI032685D#1#h1tg000048l_0_0:302205-5467452	4032721	4559415	+	526695
HIFI032685D#2#classII	CPC-Chinese	HIFI032685D	2	HIFI032685D#2#h2tg000153l_0_0:301738-5322457	3945243	4413616	+	468374
HIFI032692D#1#classII	CPC-Chinese	HIFI032692D	1	HIFI032692D#1#h1tg000123l_0_0:303312-5470118	4033881	4560199	+	526319
HIFI032692D#2#classII	CPC-Chinese	HIFI032692D	2	HIFI032692D#2#h2tg000020l_0_0:304295-5612497	4053647	4701280	+	647634
HIFI032693D#1#classII	CPC-Chinese	HIFI032693D	1	HIFI032693D#1#h1tg000062l_0_0:608433-5733453_rc	3992194	4518546	+	526353
HIFI032693D#2#classII	CPC-Chinese	HIFI032693D	2	HIFI032693D#2#h2tg000033l_0_0:607815-5813555_rc	4073413	4599413	+	526001
HIFI032698D#1#classII	CPC-Chinese	HIFI032698D	1	HIFI032698D#1#h1tg000101l_0_0:610392-3981084_rc	2233372	2763734	+	530363
HIFI032698D#2#classII	CPC-Chinese	HIFI032698D	2	HIFI032698D#2#h2tg000030l_0_0:608806-5742659_rc	3996571	4528086	+	531516
HIFI032706D#1#classII	CPC-Chinese	HIFI032706D	1	HIFI032706D#1#h1tg000016l_0_0:611062-5619397_rc	3935294	4401517	+	466224
HIFI032706D#2#classII	CPC-Chinese	HIFI032706D	2	HIFI032706D#2#h2tg000095l_0_0:607465-5690513_rc	4010712	4477267	+	466556
HIFI032711D#1#classII	CPC-Chinese	HIFI032711D	1	HIFI032711D#1#h1tg000033l_0_0:609337-5753811_rc	4009792	4538609	+	528818
HIFI032711D#2#classII	CPC-Chinese	HIFI032711D	2	HIFI032711D#2#h2tg000080l_0_0:611264-5763252_rc	4019897	4545235	+	525339
HIFI032731D#1#classII	CPC-Chinese	HIFI032731D	1	HIFI032731D#1#h1tg000273l_0_0:606929-5771846_rc	4002249	4558584	+	556336
HIFI032731D#2#classII	CPC-Chinese	HIFI032731D	2	HIFI032731D#2#h2tg000012l_0_0:303976-5468014	4031224	4557419	+	526196
RY01#1#classII	CPC-Chinese	RY01	1	RY01#1#h1tg000072l_0_0:608808-2720770_rc	979933	1506144	+	526212
RY01#2#classII	CPC-Chinese	RY01	2	RY01#2#h2tg000027l_0_0:608839-5846758_rc	3993036	4632321	+	639286
RY02#1#classII	CPC-Chinese	RY02	1	RY02#1#h1tg000066l_0_0:303777-5460230	4013256	4549689	+	536434
RY02#2#classII	CPC-Chinese	RY02	2	RY02#2#h2tg000029l_0_0:607648-2774751_rc	1006720	1560798	+	554079
RY03#1#classII	CPC-Chinese	RY03	1	RY03#1#h1tg000038l_0_0:610070-5917112_rc	4053896	4701525	+	647630
RY03#2#classII	CPC-Chinese	RY03	2	RY03#2#h2tg000088l_0_0:608725-5740832_rc	3995364	4525546	+	530183
RY04#1#classII	CPC-Chinese	RY04	1	RY04#1#h1tg000045l_0_0:610227-5760897_rc	4021338	4544888	+	523551
RY04#2#classII	CPC-Chinese	RY04	2	RY04#2#h2tg000053l_0_0:304268-5412344	3973750	4501562	+	527813
RY05#1#classII	CPC-Chinese	RY05	1	RY05#1#h1tg000047l_0_0:611110-5457129_rc	3717937	4240154	+	522218
RY05#2#classII	CPC-Chinese	RY05	2	RY05#2#h2tg000014l_0_0:304266-5416626	3969650	4506694	+	537045
RY06#1#classII	CPC-Chinese	RY06	1	RY06#1#h1tg000061l_0_0:607878-5429553_rc	3693193	4215506	+	522314
RY06#2#classII	CPC-Chinese	RY06	2	RY06#2#h2tg000061l_0_0:610637-5774002_rc	4003052	4556787	+	553736
RY07#1#classII	CPC-Chinese	RY07	1	RY07#1#h1tg000003l_0_0:610203-5629754_rc	3944065	4412480	+	468416
RY07#2#classII	CPC-Chinese	RY07	2	RY07#2#h2tg000005l_0_0:608790-5854922_rc	3992996	4640619	+	647624
RY08#1#classII	CPC-Chinese	RY08	1	RY08#1#h1tg000075l_0_0:610655-5777427_rc	4004931	4560366	+	555436
RY08#2#classII	CPC-Chinese	RY08	2	RY08#2#h2tg000087l_0_0:301757-5549861	4000807	4641504	+	640698
