candidate_id	gene	category	complete_cds	exact_current_protein_match	assembly_donors	donors_with_all_distinguishing_snps_locally_supported	markers_tested	markers_mhc_unique_and_supported	nearest_reference_protein_edit_distance	limitations
HLA-PROT-A-edc0625baf0a9756	HLA-A	unresolved	1	0	1		0	0	4	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-B-aeef6a2237aed7cc	HLA-B	unresolved	1	0	1		0	0	1	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-C-79ad8d4aa3e7427b	HLA-C	unresolved	1	0	1		0	0	3	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-C-a9bcc74a9f2fde07	HLA-C	unresolved	1	0	1		0	0	1	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DPA1-a6a5410a175074d7	HLA-DPA1	unresolved	1	0	1		0	0	1	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DPA1-aaf756c40cca0d9e	HLA-DPA1	unresolved	1	0	1		0	0	1	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DPB1-c6545df9d78da583	HLA-DPB1	unresolved	1	0	1		0	0	1	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DQA1-c34cfadfb132ec23	HLA-DQA1	unresolved	1	0	1		0	0	1	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DQB1-b35bde913e752be5	HLA-DQB1	unresolved	1	0	1		0	0	1	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB1-09e496e8c273453c	HLA-DRB1	unresolved	1	0	1		0	0	2	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB1-1b4917989a10231b	HLA-DRB1	unresolved	1	0	1		0	0	12	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB1-262af3b457b0d41f	HLA-DRB1	unresolved	1	0	1		0	0	9	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB1-271f04c1400f3cb7	HLA-DRB1	unresolved	1	0	1		0	0	3	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB1-2e91983c930650f7	HLA-DRB1	unresolved	1	0	1		0	0	2	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB1-45368816a077ce36	HLA-DRB1	unresolved	1	0	1		0	0	1	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB1-4a5a3aab8f15e84c	HLA-DRB1	unresolved	1	0	1		0	0	4	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB1-4bc5d37182066cab	HLA-DRB1	unresolved	1	0	1		0	0	1	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB1-4ccfb6ddef0ea542	HLA-DRB1	unresolved	1	0	1		0	0	2	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB1-6efc31831b0222d9	HLA-DRB1	unresolved	1	0	1		0	0	1	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB1-7393fef105d585e7	HLA-DRB1	unresolved	1	0	1		0	0	6	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB1-75110f5d6cde5940	HLA-DRB1	unresolved	1	0	1		0	0	8	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB1-7fce140dcb2b686f	HLA-DRB1	unresolved	1	0	1		0	0	6	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB1-8ee3991776a61a3f	HLA-DRB1	unresolved	1	0	1		0	0	1	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB1-951689df20da8709	HLA-DRB1	unresolved	1	0	1		0	0	9	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB1-9bf8196678ed1745	HLA-DRB1	unresolved	1	0	1		0	0	3	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB1-cbe163f3f87164d7	HLA-DRB1	unresolved	1	0	1		0	0	2	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB1-d462c8104ee69bf7	HLA-DRB1	unresolved	1	0	1		0	0	1	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB1-e06cf1f9de9ca277	HLA-DRB1	unresolved	1	0	1		0	0	3	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB1-e9bd202d352d5882	HLA-DRB1	unresolved	1	0	1		0	0	1	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB1-f249aa2592a201f5	HLA-DRB1	unresolved	1	0	1		0	0	3	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB1-fc8aeba3d6538477	HLA-DRB1	unresolved	1	0	1		0	0	2	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB5-07d6464f2ca9b188	HLA-DRB5	unresolved	1	0	1		0	0	4	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB5-189ee1572bd82ac5	HLA-DRB5	unresolved	1	0	1		0	0	1	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB5-49c2ade3677931b1	HLA-DRB5	unresolved	1	0	1		0	0	5	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB5-6750fe6b2cc3646d	HLA-DRB5	unresolved	1	0	1		0	0	3	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB5-e2479cfeb0907959	HLA-DRB5	unresolved	1	0	1		0	0	1	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
HLA-PROT-DRB5-e312b542990e43c0	HLA-DRB5	unresolved	1	0	1		0	0	2	Local short-read SNP support does not phase the whole allele; MHC-only recruitment and MHC-only uniqueness; database absence is not proof of unpublished novelty; no expression/function evidence
