donor	gene	feature	hprc_entries	jasapage_entries	hprc_signature	jasapage_signature	unordered_match	interpretation
NA18943	HLA-DPB1	cds_sha256	2	2	6659e1c24df3dbbe8976f1368b8a5790244e9dadb8a49e2234c4f02856d9b9b3;f30464a91b665761c38da5026c2d2c80858662c09b96d78f3274f68199c674a0	6659e1c24df3dbbe8976f1368b8a5790244e9dadb8a49e2234c4f02856d9b9b3;f30464a91b665761c38da5026c2d2c80858662c09b96d78f3274f68199c674a0	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18943	HLA-DQA1	gene_sha256	2	2	1379fc1f5a3478ce85e3415fa7384673e88fbc3e2081363b447489c2df3bf507;b3de5996efbfb408ad6cc456ce23486a8eb3df06f4d80eaff56f8436fb3a025b	1379fc1f5a3478ce85e3415fa7384673e88fbc3e2081363b447489c2df3bf507;b3de5996efbfb408ad6cc456ce23486a8eb3df06f4d80eaff56f8436fb3a025b	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18943	HLA-DQA1	cds_sha256	2	2	90c9c3a50684523bf8b75dea2974ffeb6b2dc9616517164c2905e1137b3ec843;ef42119adc4fa8ebebfabc2dcc50a44db2d7a71ce515bd218c42ef3865230290	90c9c3a50684523bf8b75dea2974ffeb6b2dc9616517164c2905e1137b3ec843;ef42119adc4fa8ebebfabc2dcc50a44db2d7a71ce515bd218c42ef3865230290	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18943	HLA-DQB1	gene_sha256	2	2	12fb3ed05a09a6f38c4ce32b2998f663be6b4bcdc98fdd1675a37186f3f7a26f;78369ac90cfcc9b0f947af33a74275693a87e9cfda7b3dc0edcf48ba0ff32604	12fb3ed05a09a6f38c4ce32b2998f663be6b4bcdc98fdd1675a37186f3f7a26f;78369ac90cfcc9b0f947af33a74275693a87e9cfda7b3dc0edcf48ba0ff32604	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18943	HLA-DQB1	cds_sha256	2	2	8eca11e1cbc387d4515e4bc63897990cebd76dea14df174cd8eba8947cef38b2;8f95dab73c25b349b4914e7e67926246e72522e7ef9b9b64f358eac9cc8eab9f	8eca11e1cbc387d4515e4bc63897990cebd76dea14df174cd8eba8947cef38b2;8f95dab73c25b349b4914e7e67926246e72522e7ef9b9b64f358eac9cc8eab9f	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18943	HLA-DRB1	gene_sha256	2	2	856a1c8f3ab3bb181e85e70668235dd63a6a77cb79c70b380f52e5820bbc0cab;93e2a845306e2932e051c7b506c0eb189d94aded75cd19b89e30766d1eef895e	856a1c8f3ab3bb181e85e70668235dd63a6a77cb79c70b380f52e5820bbc0cab;93e2a845306e2932e051c7b506c0eb189d94aded75cd19b89e30766d1eef895e	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18943	HLA-DRB1	cds_sha256	2	2	7ada4206f852c616880e72a429ea13bdb349e1ccd0da36c0f42a847e9ab8944f;a17743db4d4b1307ff21b592d4401cfdb4c88e2a154bd86921df47c161e985d2	7ada4206f852c616880e72a429ea13bdb349e1ccd0da36c0f42a847e9ab8944f;a17743db4d4b1307ff21b592d4401cfdb4c88e2a154bd86921df47c161e985d2	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18945	HLA-A	gene_sha256	2	2	7aee19df8cbd6e6d8094371761bb347347b160b8342d73bbedce4260aa1e6e55;e22534ab3292ecf0d0a962ef6c228b901453d295a0024a3e0c493112816567bb	7aee19df8cbd6e6d8094371761bb347347b160b8342d73bbedce4260aa1e6e55;e22534ab3292ecf0d0a962ef6c228b901453d295a0024a3e0c493112816567bb	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18945	HLA-A	cds_sha256	2	2	5b04ec1e27d27a644b49df91d06adecb6f588ef54ea7111e6fdc94da2982e8bc;885011b0a86ef4f9b70e8a5cf3181d61ba946b2eda2bfab2abb7b5db6421e3e4	5b04ec1e27d27a644b49df91d06adecb6f588ef54ea7111e6fdc94da2982e8bc;885011b0a86ef4f9b70e8a5cf3181d61ba946b2eda2bfab2abb7b5db6421e3e4	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18945	HLA-B	gene_sha256	2	2	41254bae685d86c5c44b2a892b4d1b5a20264571ee3308601df7046925a98644;d794c8b710ce9dfd7d3aa211650c251bcf1c1401ee37e73b4fb7ac45d82e77dd	41254bae685d86c5c44b2a892b4d1b5a20264571ee3308601df7046925a98644;d794c8b710ce9dfd7d3aa211650c251bcf1c1401ee37e73b4fb7ac45d82e77dd	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18945	HLA-B	cds_sha256	2	2	1d44ca5fbebab117a234400b2fbd2353eb719a6ed3ed31e921be1a5f57a0a56c;4e0af67175e86f409721018a7af772365528639d5299ed273ce9fdb77e0ce8a5	1d44ca5fbebab117a234400b2fbd2353eb719a6ed3ed31e921be1a5f57a0a56c;4e0af67175e86f409721018a7af772365528639d5299ed273ce9fdb77e0ce8a5	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18945	HLA-C	gene_sha256	2	2	be57c9768705689edff206e555e3a1c3569e9ee1b3c31678e1bb220b73d3d971;d3bd228f39fb04d37d7ea201329625df289582d6006dba66ce5677feaab3640a	be57c9768705689edff206e555e3a1c3569e9ee1b3c31678e1bb220b73d3d971;d3bd228f39fb04d37d7ea201329625df289582d6006dba66ce5677feaab3640a	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18945	HLA-C	cds_sha256	2	2	049c0d12f791833def7d5f8b879b2a76d96a3cd4a13130943916e22204d82cee;3143d1ea713e21466f1351365db0594f43bb6c7a106007340283721f8d0670f0	049c0d12f791833def7d5f8b879b2a76d96a3cd4a13130943916e22204d82cee;3143d1ea713e21466f1351365db0594f43bb6c7a106007340283721f8d0670f0	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18945	HLA-DPA1	gene_sha256	2	2	009a1299e87ee587cb554ce4fde834f9dedfe204453fe4caac93ce35133baa3f;0869fdeff20acc8dff2f99f9436a637a8f67bf28a34e024871bfac0ab1ae8380	009a1299e87ee587cb554ce4fde834f9dedfe204453fe4caac93ce35133baa3f;0869fdeff20acc8dff2f99f9436a637a8f67bf28a34e024871bfac0ab1ae8380	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18945	HLA-DPA1	cds_sha256	2	2	56a6d8ff783454876a7dc74858b229fb861bd66049037583f43d3bc3a93b047f;cd4b4a8379521cde40d22bcc3332de97483af0ab8ed70ac983159d1805c26d9d	56a6d8ff783454876a7dc74858b229fb861bd66049037583f43d3bc3a93b047f;cd4b4a8379521cde40d22bcc3332de97483af0ab8ed70ac983159d1805c26d9d	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18945	HLA-DPB1	gene_sha256	2	2	a54bdb04e031bc1703b3687c3d75c330d1f81ad44c655c63676c1d3485b49e97;d774ddc45806e1ee5e8304b95035a433e7130c557bd5dee5e8644c7d6c6e3822	a54bdb04e031bc1703b3687c3d75c330d1f81ad44c655c63676c1d3485b49e97;d774ddc45806e1ee5e8304b95035a433e7130c557bd5dee5e8644c7d6c6e3822	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18945	HLA-DPB1	cds_sha256	2	2	6659e1c24df3dbbe8976f1368b8a5790244e9dadb8a49e2234c4f02856d9b9b3;f30464a91b665761c38da5026c2d2c80858662c09b96d78f3274f68199c674a0	6659e1c24df3dbbe8976f1368b8a5790244e9dadb8a49e2234c4f02856d9b9b3;f30464a91b665761c38da5026c2d2c80858662c09b96d78f3274f68199c674a0	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18945	HLA-DQA1	gene_sha256	2	2	035575286deb4be0e472ae74561c2933c9cbf1fb33be6133b8d3a9673b522ded;ec31c1c13f52306c6ee38164677eda034d54b48b8e210d4c7a12a4b0cb94ffbc	035575286deb4be0e472ae74561c2933c9cbf1fb33be6133b8d3a9673b522ded;ec31c1c13f52306c6ee38164677eda034d54b48b8e210d4c7a12a4b0cb94ffbc	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18945	HLA-DQA1	cds_sha256	2	2	ac00e3c799d85af7172274b322ab9998ef73923e79aeaa1943af09f52b98c601;d84fddf474293b4337a3ba0b30586fad1d146bb1d21524b59f2798efe5b37ae1	ac00e3c799d85af7172274b322ab9998ef73923e79aeaa1943af09f52b98c601;d84fddf474293b4337a3ba0b30586fad1d146bb1d21524b59f2798efe5b37ae1	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18945	HLA-DQB1	gene_sha256	2	2	d18739a512e4933a0626cdb4425eb86895964b8bc3890ef2e9a6616dd8200a64;ef513a993cd69f374beef4ea8313b70b19ed579908ee7e5213fa0f25c95642c3	d18739a512e4933a0626cdb4425eb86895964b8bc3890ef2e9a6616dd8200a64;ef513a993cd69f374beef4ea8313b70b19ed579908ee7e5213fa0f25c95642c3	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18945	HLA-DQB1	cds_sha256	2	2	781a32b1f021c638f5e6fc5652f5cc4367e8e30291c9f3df3e2e01102c3a79e0;fd754da00993e6470e831e2e7683c0890075f5dbd9b5b4586c79199d59370574	781a32b1f021c638f5e6fc5652f5cc4367e8e30291c9f3df3e2e01102c3a79e0;fd754da00993e6470e831e2e7683c0890075f5dbd9b5b4586c79199d59370574	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18945	HLA-DRB1	gene_sha256	2	2	a4a0c79b27a0a2e9355d7f08c2d5f7282cf3a4317862a891d996288dfa6fe4a0;f0c949f106342fd478020181ce8cb1cf710bb28e8aef6f49df35a0101fbd7c2a	a4a0c79b27a0a2e9355d7f08c2d5f7282cf3a4317862a891d996288dfa6fe4a0;f0c949f106342fd478020181ce8cb1cf710bb28e8aef6f49df35a0101fbd7c2a	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18945	HLA-DRB1	cds_sha256	2	2	58aef5c6739eab202e6a4a2d13527a848f64ecf61e2311478599b08be1aaafe9;5e021b812d252bfee27d60019fc03b2dd17f7199086ec2ae6ad8a870c2c2e990	58aef5c6739eab202e6a4a2d13527a848f64ecf61e2311478599b08be1aaafe9;5e021b812d252bfee27d60019fc03b2dd17f7199086ec2ae6ad8a870c2c2e990	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18945	HLA-DRB3	gene_sha256	1	1	05fca781a5e3dbf6b23c1f46b9bbafc864214c95a01f01399d368b8d121f917c	05fca781a5e3dbf6b23c1f46b9bbafc864214c95a01f01399d368b8d121f917c	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18945	HLA-DRB3	cds_sha256	1	1	177a36ff15a114a831e7f7fb127c7813990115f54e301084e8386406c0e8d340	177a36ff15a114a831e7f7fb127c7813990115f54e301084e8386406c0e8d340	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18945	HLA-DRB4	gene_sha256	1	1	01af78bfa1abf245342634868a4049d79d4a5d8401c9b79f59525d6c3e1b7712	01af78bfa1abf245342634868a4049d79d4a5d8401c9b79f59525d6c3e1b7712	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18945	HLA-DRB4	cds_sha256	1	1	cf3bc91c6737c9f5011b77ec84d64a4bc89c502af91fa2b8d5414948978c9588	cf3bc91c6737c9f5011b77ec84d64a4bc89c502af91fa2b8d5414948978c9588	1	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18952	HLA-A	gene_sha256	2	2	b97c51f34a8a9f4982dd5eb1f4230b9807f455ba1caf338e80f8bdf65c677f9f;e22534ab3292ecf0d0a962ef6c228b901453d295a0024a3e0c493112816567bb	e22534ab3292ecf0d0a962ef6c228b901453d295a0024a3e0c493112816567bb;e22534ab3292ecf0d0a962ef6c228b901453d295a0024a3e0c493112816567bb	0	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18952	HLA-A	cds_sha256	2	2	72592d3f49e03a3d6f390cf4368512ad38f003c50675df48acb2fca426dfbe0a;885011b0a86ef4f9b70e8a5cf3181d61ba946b2eda2bfab2abb7b5db6421e3e4	885011b0a86ef4f9b70e8a5cf3181d61ba946b2eda2bfab2abb7b5db6421e3e4;885011b0a86ef4f9b70e8a5cf3181d61ba946b2eda2bfab2abb7b5db6421e3e4	0	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18952	HLA-B	gene_sha256	2	2	3d3e91fc88a546b095c6540cd520eaa85f8f476619091f08db81eb278fdef786;dd9dddd7803ef0c3631f3110f5386863809fa8dfd23a32b380976bbf5bd535e9	dd9dddd7803ef0c3631f3110f5386863809fa8dfd23a32b380976bbf5bd535e9;dd9dddd7803ef0c3631f3110f5386863809fa8dfd23a32b380976bbf5bd535e9	0	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18952	HLA-B	cds_sha256	2	2	2b462b750b99ab69c978efcfb824da318bac7838a1455a93ca9cff3c58fb94b6;c114731eea76865bb5f2ceb78422467544c62585ee021dc7a57deffd1993bcfa	c114731eea76865bb5f2ceb78422467544c62585ee021dc7a57deffd1993bcfa;c114731eea76865bb5f2ceb78422467544c62585ee021dc7a57deffd1993bcfa	0	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18952	HLA-C	gene_sha256	2	2	60125bc111c19f57dce81684cbcb92f08ece982c95aa22f898066a06f25b6be1;f03c8120ba6eeb7d66697993b68f27718bed9cfb98a80e23d19721ba5cedb607	60125bc111c19f57dce81684cbcb92f08ece982c95aa22f898066a06f25b6be1;60125bc111c19f57dce81684cbcb92f08ece982c95aa22f898066a06f25b6be1	0	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18952	HLA-C	cds_sha256	2	2	049c0d12f791833def7d5f8b879b2a76d96a3cd4a13130943916e22204d82cee;b309a8704f0ff654fc8c1b44346630d779017a724cede9f450135e3ffadd51a6	b309a8704f0ff654fc8c1b44346630d779017a724cede9f450135e3ffadd51a6;b309a8704f0ff654fc8c1b44346630d779017a724cede9f450135e3ffadd51a6	0	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18952	HLA-DPA1	gene_sha256	2	2	009a1299e87ee587cb554ce4fde834f9dedfe204453fe4caac93ce35133baa3f;d272eeaf9f9b5de9221dd007d6462b2bf6af989bd8090aec25f2736113a26a35	009a1299e87ee587cb554ce4fde834f9dedfe204453fe4caac93ce35133baa3f;009a1299e87ee587cb554ce4fde834f9dedfe204453fe4caac93ce35133baa3f	0	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
NA18952	HLA-DPA1	cds_sha256	2	2	56a6d8ff783454876a7dc74858b229fb861bd66049037583f43d3bc3a93b047f;b098f34ca4caa05c92e4525da9a0fb4789be3e19b5e809a73931d90d6a1edf32	56a6d8ff783454876a7dc74858b229fb861bd66049037583f43d3bc3a93b047f;56a6d8ff783454876a7dc74858b229fb861bd66049037583f43d3bc3a93b047f	0	Cross-source assemblies of one donor, not independent biological replication; shared raw-data provenance not excluded
