entry	hap_id	prototype	family	contig	start0	end0	strand	query_length	query_coverage	identity	mapq	eligible
HG00097_1	HG00097#1	WHR1B	WHR1	HG00097#1#JBIRDD010000044.1:28461910-33634610	3606082	3606600	+	518	1.0	1.0	60	1
HG00097_1	HG00097#1	WHR1B	WHR1	HG00097#1#JBIRDD010000044.1:28461910-33634610	3573344	3573862	+	518	1.0	0.9942084942084942	0	1
HG00097_2	HG00097#2	WHR1	WHR1	HG00097#2#JBIRDE010000007.1:28438526-33548333	3508803	3519075	+	10272	1.0	1.0	60	1
HG00097_2	HG00097#2	CYP21A1P	CYP21	HG00097#2#JBIRDE010000007.1:28438526-33548333	3543264	3546538	+	3274	1.0	0.9996945632254124	60	1
HG00097_2	HG00097#2	CYP21A1P	CYP21	HG00097#2#JBIRDE010000007.1:28438526-33548333	3575998	3579273	+	3274	1.0	0.9780688394760889	0	1
HG00097_2	HG00097#2	CYP21A2	CYP21	HG00097#2#JBIRDE010000007.1:28438526-33548333	3576043	3579273	+	3230	1.0	0.9996904024767802	60	1
HG00097_2	HG00097#2	CYP21A2	CYP21	HG00097#2#JBIRDE010000007.1:28438526-33548333	3543314	3546538	+	3230	0.9984520123839009	0.9783482833281781	0	1
HG00097_2	HG00097#2	TNXA	TNX	HG00097#2#JBIRDE010000007.1:28438526-33548333	3546048	3550652	-	4604	1.0	1.0	60	1
HG00097_2	HG00097#2	TNXA	TNX	HG00097#2#JBIRDE010000007.1:28438526-33548333	3578783	3583506	-	4604	1.0	0.9701524132091448	0	1
HG00097_2	HG00097#2	TNXB	TNX	HG00097#2#JBIRDE010000007.1:28438526-33548333	3578781	3646970	-	68186	1.0	0.9997947033463355	60	1
HG00097_2	HG00097#2	WHR1B	WHR1	HG00097#2#JBIRDE010000007.1:28438526-33548333	3550898	3551416	+	518	1.0	1.0	60	1
HG00097_2	HG00097#2	WHR1B	WHR1	HG00097#2#JBIRDE010000007.1:28438526-33548333	3518160	3518678	+	518	1.0	0.9942084942084942	0	1
HG00099_1	HG00099#1	WHR1	WHR1	HG00099#1#JBHDWO010000057.1:28378111-33500321	3544822	3555094	+	10272	1.0	0.9990265745157209	60	1
HG00099_1	HG00099#1	CYP21A1P	CYP21	HG00099#1#JBHDWO010000057.1:28378111-33500321	3579283	3582557	+	3274	1.0	0.9978619425778864	60	1
HG00099_1	HG00099#1	CYP21A1P	CYP21	HG00099#1#JBHDWO010000057.1:28378111-33500321	3612018	3615290	+	3274	1.0	0.977155041120926	0	1
HG00099_1	HG00099#1	CYP21A2	CYP21	HG00099#1#JBHDWO010000057.1:28378111-33500321	3612063	3615290	+	3230	1.0	0.9956656346749226	60	1
HG00099_1	HG00099#1	CYP21A2	CYP21	HG00099#1#JBHDWO010000057.1:28378111-33500321	3579333	3582557	+	3230	0.9984520123839009	0.9783482833281781	0	1
HG00099_1	HG00099#1	TNXA	TNX	HG00099#1#JBHDWO010000057.1:28378111-33500321	3582067	3586671	-	4604	1.0	0.9978279756733276	60	1
HG00099_1	HG00099#1	TNXA	TNX	HG00099#1#JBHDWO010000057.1:28378111-33500321	3614800	3619523	-	4604	1.0	0.9690939881456393	0	1
HG00099_1	HG00099#1	TNXB	TNX	HG00099#1#JBHDWO010000057.1:28378111-33500321	3614798	3682976	-	68186	1.0	0.998665786965765	60	1
HG00099_1	HG00099#1	WHR1B	WHR1	HG00099#1#JBHDWO010000057.1:28378111-33500321	3586917	3587435	+	518	1.0	0.9980694980694981	60	1
HG00099_1	HG00099#1	WHR1B	WHR1	HG00099#1#JBHDWO010000057.1:28378111-33500321	3554179	3554697	+	518	1.0	0.9922779922779923	0	1
HG00099_2	HG00099#2	WHR1	WHR1	HG00099#2#CM087361.1:28397166-33493833	3553094	3563366	+	10272	1.0	0.9999026479750779	60	1
HG00099_2	HG00099#2	CYP21A1P	CYP21	HG00099#2#CM087361.1:28397166-33493833	3581184	3584459	+	3274	1.0	0.976545842217484	60	1
HG00099_2	HG00099#2	CYP21A2	CYP21	HG00099#2#CM087361.1:28397166-33493833	3581229	3584459	+	3230	1.0	0.9984520123839009	60	1
HG00099_2	HG00099#2	TNXA	TNX	HG00099#2#CM087361.1:28397166-33493833	3583969	3588692	-	4604	1.0	0.9699407281964437	60	1
HG00099_2	HG00099#2	TNXB	TNX	HG00099#2#CM087361.1:28397166-33493833	3583967	3652167	-	68186	1.0	0.9991643331525165	60	1
HG00099_2	HG00099#2	WHR1B	WHR1	HG00099#2#CM087361.1:28397166-33493833	3562451	3562969	+	518	1.0	0.9942084942084942	60	1
HG00126_1	HG00126#1	WHR1	WHR1	HG00126#1#CM090112.1:28356760-33437962	3498958	3509232	+	10272	1.0	0.9993186684835507	60	1
HG00126_1	HG00126#1	CYP21A1P	CYP21	HG00126#1#CM090112.1:28356760-33437962	3533420	3536694	+	3274	1.0	0.998167379352474	60	1
HG00126_1	HG00126#1	CYP21A1P	CYP21	HG00126#1#CM090112.1:28356760-33437962	3566155	3569426	+	3274	1.0	0.9780621572212066	0	1
HG00126_1	HG00126#1	CYP21A2	CYP21	HG00126#1#CM090112.1:28356760-33437962	3566200	3569426	+	3230	1.0	0.9962848297213622	60	1
HG00126_1	HG00126#1	CYP21A2	CYP21	HG00126#1#CM090112.1:28356760-33437962	3533470	3536694	+	3230	0.9984520123839009	0.9780389730900093	0	1
HG00126_1	HG00126#1	TNXA	TNX	HG00126#1#CM090112.1:28356760-33437962	3536204	3540808	-	4604	1.0	0.9980451781059948	60	1
HG00126_1	HG00126#1	TNXA	TNX	HG00126#1#CM090112.1:28356760-33437962	3568936	3573659	-	4604	1.0	0.9688823031329382	0	1
HG00126_1	HG00126#1	TNXB	TNX	HG00126#1#CM090112.1:28356760-33437962	3568934	3637116	-	68186	1.0	0.998533982290506	60	1
HG00126_1	HG00126#1	WHR1B	WHR1	HG00126#1#CM090112.1:28356760-33437962	3541054	3541572	+	518	1.0	0.9980694980694981	60	1
HG00126_1	HG00126#1	WHR1B	WHR1	HG00126#1#CM090112.1:28356760-33437962	3508317	3508835	+	518	1.0	0.9942084942084942	0	1
HG00126_2	HG00126#2	WHR1	WHR1	HG00126#2#CM090124.1:28373995-33623206	3553597	3563859	+	10272	1.0	0.9980529595015576	60	1
HG00126_2	HG00126#2	CYP21A1P	CYP21	HG00126#2#CM090124.1:28373995-33623206	3588049	3591323	+	3274	1.0	0.9969456322541234	60	1
HG00126_2	HG00126#2	CYP21A1P	CYP21	HG00126#2#CM090124.1:28373995-33623206	3614417	3617692	+	3274	1.0	0.976850441669205	0	1
HG00126_2	HG00126#2	CYP21A2	CYP21	HG00126#2#CM090124.1:28373995-33623206	3614462	3617692	+	3230	1.0	0.9978328173374613	60	1
HG00126_2	HG00126#2	CYP21A2	CYP21	HG00126#2#CM090124.1:28373995-33623206	3588099	3591323	+	3230	0.9984520123839009	0.9786575935663471	0	1
HG00126_2	HG00126#2	TNXA	TNX	HG00126#2#CM090124.1:28373995-33623206	3590833	3595437	-	4604	1.0	0.9960903562119896	27	1
HG00126_2	HG00126#2	TNXA	TNX	HG00126#2#CM090124.1:28373995-33623206	3617202	3621925	-	4604	1.0	0.9699407281964437	0	1
HG00126_2	HG00126#2	TNXB	TNX	HG00126#2#CM090124.1:28373995-33623206	3617200	3685401	-	68186	1.0	0.9992229650480882	60	1
HG00126_2	HG00126#2	WHR1B	WHR1	HG00126#2#CM090124.1:28373995-33623206	3595683	3596201	+	518	1.0	0.9961389961389961	60	1
HG00126_2	HG00126#2	WHR1B	WHR1	HG00126#2#CM090124.1:28373995-33623206	3562947	3563462	+	518	1.0	0.9884169884169884	0	1
HG00128_1	HG00128#1	WHR1	WHR1	HG00128#1#CM090080.1:28391628-33572064	3552336	3562607	+	10272	1.0	0.9992212596125767	60	1
HG00128_1	HG00128#1	CYP21A1P	CYP21	HG00128#1#CM090080.1:28391628-33572064	3586798	3590072	+	3274	1.0	0.9975565058032987	37	1
HG00128_1	HG00128#1	CYP21A1P	CYP21	HG00128#1#CM090080.1:28391628-33572064	3613167	3616441	+	3274	1.0	0.9960293219303604	0	1
HG00128_1	HG00128#1	CYP21A1P	CYP21	HG00128#1#CM090080.1:28391628-33572064	3639534	3642809	+	3274	1.0	0.9786780383795309	0	1
HG00128_1	HG00128#1	CYP21A2	CYP21	HG00128#1#CM090080.1:28391628-33572064	3639579	3642809	+	3230	1.0	0.9962848297213622	60	1
HG00128_1	HG00128#1	CYP21A2	CYP21	HG00128#1#CM090080.1:28391628-33572064	3613217	3616441	+	3230	0.9984520123839009	0.9802041447571914	0	1
HG00128_1	HG00128#1	CYP21A2	CYP21	HG00128#1#CM090080.1:28391628-33572064	3586848	3590072	+	3230	0.9984520123839009	0.9774203526136716	0	1
HG00128_1	HG00128#1	TNXA	TNX	HG00128#1#CM090080.1:28391628-33572064	3589582	3594186	-	4604	1.0	0.9960903562119896	18	1
HG00128_1	HG00128#1	TNXA	TNX	HG00128#1#CM090080.1:28391628-33572064	3615951	3620555	-	4604	1.0	0.9954387489139879	0	1
HG00128_1	HG00128#1	TNXA	TNX	HG00128#1#CM090080.1:28391628-33572064	3642319	3647042	-	4604	1.0	0.9699407281964437	0	1
HG00128_1	HG00128#1	TNXB	TNX	HG00128#1#CM090080.1:28391628-33572064	3642317	3710506	-	68186	1.0	0.9992961670430218	60	1
HG00128_1	HG00128#1	WHR1B	WHR1	HG00128#1#CM090080.1:28391628-33572064	3620801	3621319	+	518	1.0	0.9980694980694981	0	1
HG00128_1	HG00128#1	WHR1B	WHR1	HG00128#1#CM090080.1:28391628-33572064	3594432	3594950	+	518	1.0	0.9980694980694981	0	1
HG00128_1	HG00128#1	WHR1B	WHR1	HG00128#1#CM090080.1:28391628-33572064	3561692	3562210	+	518	1.0	0.9942084942084942	0	1
HG00128_2	HG00128#2	WHR1	WHR1	HG00128#2#CM090096.1:28379634-33499179	3536596	3546859	+	10272	1.0	0.9981504915798696	60	1
HG00128_2	HG00128#2	CYP21A1P	CYP21	HG00128#2#CM090096.1:28379634-33499179	3571048	3574322	+	3274	1.0	0.998167379352474	60	1
HG00128_2	HG00128#2	CYP21A1P	CYP21	HG00128#2#CM090096.1:28379634-33499179	3603783	3607055	+	3274	1.0	0.9777642400243679	0	1
HG00128_2	HG00128#2	CYP21A2	CYP21	HG00128#2#CM090096.1:28379634-33499179	3603828	3607055	+	3230	1.0	0.9962848297213622	60	1
HG00128_2	HG00128#2	CYP21A2	CYP21	HG00128#2#CM090096.1:28379634-33499179	3571098	3574322	+	3230	0.9984520123839009	0.9780389730900093	0	1
HG00128_2	HG00128#2	TNXA	TNX	HG00128#2#CM090096.1:28379634-33499179	3573832	3578436	-	4604	1.0	0.998262380538662	60	1
HG00128_2	HG00128#2	TNXA	TNX	HG00128#2#CM090096.1:28379634-33499179	3606565	3611288	-	4604	1.0	0.9695173581710415	0	1
HG00128_2	HG00128#2	TNXB	TNX	HG00128#2#CM090096.1:28379634-33499179	3606563	3674737	-	68186	1.0	0.9988562714449104	60	1
HG00128_2	HG00128#2	WHR1B	WHR1	HG00128#2#CM090096.1:28379634-33499179	3578682	3579200	+	518	1.0	0.9980694980694981	60	1
HG00128_2	HG00128#2	WHR1B	WHR1	HG00128#2#CM090096.1:28379634-33499179	3545944	3546462	+	518	1.0	0.9942084942084942	0	1
HG00133_1	HG00133#1	WHR1	WHR1	HG00133#1#CM090050.1:28455191-33589633	3556786	3567050	+	10272	1.0	0.9981504915798696	60	1
HG00133_1	HG00133#1	CYP21A1P	CYP21	HG00133#1#CM090050.1:28455191-33589633	3591239	3594513	+	3274	1.0	0.9966401954795358	60	1
HG00133_1	HG00133#1	CYP21A1P	CYP21	HG00133#1#CM090050.1:28455191-33589633	3617605	3620880	+	3274	1.0	0.977459640572647	0	1
HG00133_1	HG00133#1	CYP21A2	CYP21	HG00133#1#CM090050.1:28455191-33589633	3617650	3620880	+	3230	1.0	0.9975232198142415	60	1
HG00133_1	HG00133#1	CYP21A2	CYP21	HG00133#1#CM090050.1:28455191-33589633	3591289	3594513	+	3230	0.9984520123839009	0.9789669038045159	0	1
HG00133_1	HG00133#1	TNXA	TNX	HG00133#1#CM090050.1:28455191-33589633	3594023	3598627	-	4604	1.0	0.9960903562119896	45	1
HG00133_1	HG00133#1	TNXA	TNX	HG00133#1#CM090050.1:28455191-33589633	3620390	3625113	-	4604	1.0	0.9693056731583404	0	1
HG00133_1	HG00133#1	TNXB	TNX	HG00133#1#CM090050.1:28455191-33589633	3620388	3688577	-	68186	1.0	0.9989735769377401	60	1
HG00133_1	HG00133#1	WHR1B	WHR1	HG00133#1#CM090050.1:28455191-33589633	3598873	3599391	+	518	1.0	0.9961389961389961	60	1
HG00133_1	HG00133#1	WHR1B	WHR1	HG00133#1#CM090050.1:28455191-33589633	3566138	3566653	+	518	1.0	0.9884169884169884	0	1
HG00133_2	HG00133#2	WHR1	WHR1	HG00133#2#CM090065.1:28391702-33637176	3552810	3563083	+	10272	1.0	0.9989293361884368	60	1
HG00133_2	HG00133#2	CYP21A1P	CYP21	HG00133#2#CM090065.1:28391702-33637176	3587272	3590546	+	3274	1.0	0.998167379352474	60	1
HG00133_2	HG00133#2	CYP21A1P	CYP21	HG00133#2#CM090065.1:28391702-33637176	3620007	3623278	+	3274	1.0	0.9780621572212066	0	1
HG00133_2	HG00133#2	CYP21A2	CYP21	HG00133#2#CM090065.1:28391702-33637176	3620052	3623278	+	3230	1.0	0.9962848297213622	60	1
HG00133_2	HG00133#2	CYP21A2	CYP21	HG00133#2#CM090065.1:28391702-33637176	3587322	3590546	+	3230	0.9984520123839009	0.9780389730900093	0	1
HG00133_2	HG00133#2	TNXA	TNX	HG00133#2#CM090065.1:28391702-33637176	3590056	3594660	-	4604	1.0	0.9980451781059948	60	1
HG00133_2	HG00133#2	TNXA	TNX	HG00133#2#CM090065.1:28391702-33637176	3622788	3627511	-	4604	1.0	0.9688823031329382	0	1
HG00133_2	HG00133#2	TNXB	TNX	HG00133#2#CM090065.1:28391702-33637176	3622786	3690958	-	68186	1.0	0.9987243401759531	60	1
HG00133_2	HG00133#2	WHR1B	WHR1	HG00133#2#CM090065.1:28391702-33637176	3594906	3595424	+	518	1.0	0.9980694980694981	60	1
HG00133_2	HG00133#2	WHR1B	WHR1	HG00133#2#CM090065.1:28391702-33637176	3562168	3562686	+	518	1.0	0.9942084942084942	0	1
HG00140_1	HG00140#1	WHR1	WHR1	HG00140#1#CM087111.1:28362821-33594371	3623101	3633373	+	10272	1.0	0.9995132398753894	60	1
HG00140_1	HG00140#1	CYP21A1P	CYP21	HG00140#1#CM087111.1:28362821-33594371	3657560	3660834	+	3274	1.0	0.9774527726995734	0	1
HG00140_1	HG00140#1	CYP21A1P	CYP21	HG00140#1#CM087111.1:28362821-33594371	3690294	3693568	+	3274	1.0	0.9774527726995734	0	1
HG00140_1	HG00140#1	CYP21A2	CYP21	HG00140#1#CM087111.1:28362821-33594371	3690339	3693568	+	3230	1.0	0.9981424148606811	0	1
HG00140_1	HG00140#1	CYP21A2	CYP21	HG00140#1#CM087111.1:28362821-33594371	3657605	3660834	+	3230	1.0	0.9981424148606811	0	1
HG00140_1	HG00140#1	TNXA	TNX	HG00140#1#CM087111.1:28362821-33594371	3660344	3664947	-	4604	1.0	0.9967419635099913	28	1
HG00140_1	HG00140#1	TNXA	TNX	HG00140#1#CM087111.1:28362821-33594371	3693078	3697801	-	4604	1.0	0.970575783234547	0	1
HG00140_1	HG00140#1	TNXB	TNX	HG00140#1#CM087111.1:28362821-33594371	3693076	3761270	-	68186	1.0	0.9993841642228739	60	1
HG00140_1	HG00140#1	WHR1B	WHR1	HG00140#1#CM087111.1:28362821-33594371	3665193	3665711	+	518	1.0	0.9980694980694981	34	1
HG00140_1	HG00140#1	WHR1B	WHR1	HG00140#1#CM087111.1:28362821-33594371	3632458	3632976	+	518	1.0	0.9961389961389961	0	1
HG00140_2	HG00140#2	WHR1	WHR1	HG00140#2#CM087137.1:28381998-33511941	3552009	3562279	+	10272	1.0	0.9994158878504673	60	1
HG00140_2	HG00140#2	CYP21A1P	CYP21	HG00140#2#CM087137.1:28381998-33511941	3586470	3589744	+	3274	1.0	0.9972510690287111	60	1
HG00140_2	HG00140#2	CYP21A1P	CYP21	HG00140#2#CM087137.1:28381998-33511941	3612837	3616112	+	3274	1.0	0.978982637831252	0	1
HG00140_2	HG00140#2	CYP21A2	CYP21	HG00140#2#CM087137.1:28381998-33511941	3612882	3616112	+	3230	1.0	0.9962848297213622	60	1
HG00140_2	HG00140#2	CYP21A2	CYP21	HG00140#2#CM087137.1:28381998-33511941	3586520	3589744	+	3230	0.9984520123839009	0.9777296628518404	0	1
HG00140_2	HG00140#2	TNXA	TNX	HG00140#2#CM087137.1:28381998-33511941	3589254	3593858	-	4604	1.0	0.9967419635099913	4	1
HG00140_2	HG00140#2	TNXA	TNX	HG00140#2#CM087137.1:28381998-33511941	3615622	3620346	-	4604	1.0	0.9714225232853514	0	1
HG00140_2	HG00140#2	TNXB	TNX	HG00140#2#CM087137.1:28381998-33511941	3615620	3683776	-	68186	1.0	0.9981673972642906	60	1
HG00140_2	HG00140#2	WHR1B	WHR1	HG00140#2#CM087137.1:28381998-33511941	3594104	3594622	+	518	1.0	0.9980694980694981	60	1
HG00140_2	HG00140#2	WHR1B	WHR1	HG00140#2#CM087137.1:28381998-33511941	3561364	3561882	+	518	1.0	0.9942084942084942	0	1
HG00146_1	HG00146#1	WHR1	WHR1	HG00146#1#CM090015.1:28391294-33489055	3553118	3563390	+	10272	1.0	0.9999026479750779	60	1
HG00146_1	HG00146#1	CYP21A1P	CYP21	HG00146#1#CM090015.1:28391294-33489055	3581208	3584483	+	3274	1.0	0.976545842217484	60	1
HG00146_1	HG00146#1	CYP21A2	CYP21	HG00146#1#CM090015.1:28391294-33489055	3581253	3584483	+	3230	1.0	0.9984520123839009	60	1
HG00146_1	HG00146#1	TNXA	TNX	HG00146#1#CM090015.1:28391294-33489055	3583993	3588716	-	4604	1.0	0.9699407281964437	60	1
HG00146_1	HG00146#1	TNXB	TNX	HG00146#1#CM090015.1:28391294-33489055	3583991	3652189	-	68186	1.0	0.9991936311522278	60	1
HG00146_1	HG00146#1	WHR1B	WHR1	HG00146#1#CM090015.1:28391294-33489055	3562475	3562993	+	518	1.0	0.9942084942084942	60	1
HG00146_2	HG00146#2	WHR1	WHR1	HG00146#2#JBHIKP010000006.1:28398454-33526840	3553178	3563450	+	10272	1.0	0.9987346700408799	60	1
HG00146_2	HG00146#2	CYP21A1P	CYP21	HG00146#2#JBHIKP010000006.1:28398454-33526840	3587639	3590912	+	3274	1.0	0.9923640806353085	60	1
HG00146_2	HG00146#2	CYP21A2	CYP21	HG00146#2#JBHIKP010000006.1:28398454-33526840	3587689	3590912	+	3230	0.9984520123839009	0.9845297029702971	60	1
HG00146_2	HG00146#2	TNXA	TNX	HG00146#2#JBHIKP010000006.1:28398454-33526840	3590422	3595145	-	4604	1.0	0.9686706181202371	60	1
HG00146_2	HG00146#2	TNXB	TNX	HG00146#2#JBHIKP010000006.1:28398454-33526840	3590420	3658606	-	68186	1.0	0.9988710339569526	60	1
HG00146_2	HG00146#2	WHR1B	WHR1	HG00146#2#JBHIKP010000006.1:28398454-33526840	3562535	3563053	+	518	1.0	0.9922779922779923	60	1
HG00232_1	HG00232#1	WHR1	WHR1	HG00232#1#JBHIKM010000014.1:28302939-33474178	3562598	3572870	+	10272	1.0	1.0	60	1
HG00232_1	HG00232#1	CYP21A1P	CYP21	HG00232#1#JBHIKM010000014.1:28302939-33474178	3597059	3600333	+	3274	1.0	1.0	60	1
HG00232_1	HG00232#1	CYP21A1P	CYP21	HG00232#1#JBHIKM010000014.1:28302939-33474178	3629793	3633068	+	3274	1.0	0.9783734389278099	0	1
HG00232_1	HG00232#1	CYP21A2	CYP21	HG00232#1#JBHIKM010000014.1:28302939-33474178	3629838	3633068	+	3230	1.0	0.9996904024767802	60	1
HG00232_1	HG00232#1	CYP21A2	CYP21	HG00232#1#JBHIKM010000014.1:28302939-33474178	3597109	3600333	+	3230	0.9984520123839009	0.9780389730900093	0	1
HG00232_1	HG00232#1	TNXA	TNX	HG00232#1#JBHIKM010000014.1:28302939-33474178	3599843	3604447	-	4604	1.0	1.0	60	1
HG00232_1	HG00232#1	TNXA	TNX	HG00232#1#JBHIKM010000014.1:28302939-33474178	3632578	3637301	-	4604	1.0	0.9701524132091448	0	1
HG00232_1	HG00232#1	TNXB	TNX	HG00232#1#JBHIKM010000014.1:28302939-33474178	3632576	3700761	-	68186	1.0	0.9999706684656674	60	1
HG00232_1	HG00232#1	WHR1B	WHR1	HG00232#1#JBHIKM010000014.1:28302939-33474178	3604693	3605211	+	518	1.0	1.0	60	1
HG00232_1	HG00232#1	WHR1B	WHR1	HG00232#1#JBHIKM010000014.1:28302939-33474178	3571955	3572473	+	518	1.0	0.9942084942084942	0	1
HG00232_2	HG00232#2	WHR1	WHR1	HG00232#2#JBHIKN010000040.1:28366410-33541603	3559433	3569706	+	10272	1.0	0.9992212596125767	60	1
HG00232_2	HG00232#2	CYP21A1P	CYP21	HG00232#2#JBHIKN010000040.1:28366410-33541603	3593896	3597170	+	3274	1.0	0.9966401954795358	0	1
HG00232_2	HG00232#2	CYP21A1P	CYP21	HG00232#2#JBHIKN010000040.1:28366410-33541603	3626635	3629909	+	3274	1.0	0.9966401954795358	0	1
HG00232_2	HG00232#2	CYP21A1P	CYP21	HG00232#2#JBHIKN010000040.1:28366410-33541603	3659371	3662646	+	3274	1.0	0.977155041120926	0	1
HG00232_2	HG00232#2	CYP21A2	CYP21	HG00232#2#JBHIKN010000040.1:28366410-33541603	3659416	3662646	+	3230	1.0	0.9984520123839009	60	1
HG00232_2	HG00232#2	CYP21A2	CYP21	HG00232#2#JBHIKN010000040.1:28366410-33541603	3593946	3597170	+	3230	0.9984520123839009	0.9777296628518404	0	1
HG00232_2	HG00232#2	CYP21A2	CYP21	HG00232#2#JBHIKN010000040.1:28366410-33541603	3626685	3629909	+	3230	0.9984520123839009	0.9777296628518404	0	1
HG00232_2	HG00232#2	TNXA	TNX	HG00232#2#JBHIKN010000040.1:28366410-33541603	3596680	3601284	-	4604	1.0	0.9978279756733276	0	1
HG00232_2	HG00232#2	TNXA	TNX	HG00232#2#JBHIKN010000040.1:28366410-33541603	3629419	3634023	-	4604	1.0	0.9978279756733276	0	1
HG00232_2	HG00232#2	TNXA	TNX	HG00232#2#JBHIKN010000040.1:28366410-33541603	3662156	3666879	-	4604	1.0	0.9701524132091448	0	1
HG00232_2	HG00232#2	TNXB	TNX	HG00232#2#JBHIKN010000040.1:28366410-33541603	3662154	3730340	-	68186	1.0	0.999530736743313	60	1
HG00232_2	HG00232#2	WHR1B	WHR1	HG00232#2#JBHIKN010000040.1:28366410-33541603	3634269	3634787	+	518	1.0	0.9980694980694981	0	1
HG00232_2	HG00232#2	WHR1B	WHR1	HG00232#2#JBHIKN010000040.1:28366410-33541603	3601530	3602048	+	518	1.0	0.9980694980694981	0	1
HG00232_2	HG00232#2	WHR1B	WHR1	HG00232#2#JBHIKN010000040.1:28366410-33541603	3568791	3569309	+	518	1.0	0.9961389961389961	0	1
HG00235_1	HG00235#1	WHR1	WHR1	HG00235#1#JBIRED010000015.1:28430445-33672471	3549429	3559701	+	10272	1.0	0.9992212596125767	60	1
HG00235_1	HG00235#1	CYP21A1P	CYP21	HG00235#1#JBIRED010000015.1:28430445-33672471	3583890	3587164	+	3274	1.0	0.998167379352474	60	1
HG00235_1	HG00235#1	CYP21A1P	CYP21	HG00235#1#JBIRED010000015.1:28430445-33672471	3616625	3619897	+	3274	1.0	0.976850441669205	0	1
HG00235_1	HG00235#1	CYP21A2	CYP21	HG00235#1#JBIRED010000015.1:28430445-33672471	3616670	3619897	+	3230	1.0	0.996594427244582	60	1
HG00235_1	HG00235#1	CYP21A2	CYP21	HG00235#1#JBIRED010000015.1:28430445-33672471	3583940	3587164	+	3230	0.9984520123839009	0.9780389730900093	0	1
HG00235_1	HG00235#1	TNXA	TNX	HG00235#1#JBIRED010000015.1:28430445-33672471	3586674	3591278	-	4604	1.0	0.9980451781059948	60	1
HG00235_1	HG00235#1	TNXA	TNX	HG00235#1#JBIRED010000015.1:28430445-33672471	3619407	3624130	-	4604	1.0	0.9693056731583404	0	1
HG00235_1	HG00235#1	TNXB	TNX	HG00235#1#JBIRED010000015.1:28430445-33672471	3619405	3687584	-	68186	1.0	0.9986512043865179	60	1
HG00235_1	HG00235#1	WHR1B	WHR1	HG00235#1#JBIRED010000015.1:28430445-33672471	3591524	3592042	+	518	1.0	0.9980694980694981	60	1
HG00235_1	HG00235#1	WHR1B	WHR1	HG00235#1#JBIRED010000015.1:28430445-33672471	3558786	3559304	+	518	1.0	0.9942084942084942	0	1
HG00235_2	HG00235#2	WHR1	WHR1	HG00235#2#JBIREE010000012.1:28440799-33687305	3552966	3563237	+	10272	1.0	0.9992211838006231	60	1
