candidate_id	hap_id	gene	published_exact_genomic	published_ordered_exact_cds_blocks	status	source	limitation
HLA-PROT-DRB1-4bc5d37182066cab	HIFI032429D#1	HLA-DRB1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB1-4ccfb6ddef0ea542	HIFI032567D#1	HLA-DRB1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB1-6efc31831b0222d9	HG01943#2	HLA-DRB1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB1-7393fef105d585e7	RY07#1	HLA-DRB1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB1-75110f5d6cde5940	HIFI032692D#1	HLA-DRB1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB1-7fce140dcb2b686f	KPanRef-074#1	HLA-DRB1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB1-8ee3991776a61a3f	apr006#1	HLA-DRB1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB1-951689df20da8709	apr038#1	HLA-DRB1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB1-9bf8196678ed1745	HIFI032454D#1	HLA-DRB1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB1-a23ab9e5e0fd3b94	HG01252#2	HLA-DRB1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB1-a23ab9e5e0fd3b94	HG01358#1	HLA-DRB1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB1-a23ab9e5e0fd3b94	HG01943#1	HLA-DRB1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB1-ad48d0a393823ed2	HG02976#2	HLA-DRB1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB1-ba0192aed98e11e3	NA19159#1	HLA-DRB1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB1-cbe163f3f87164d7	HIFI032607D#2	HLA-DRB1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB1-d462c8104ee69bf7	HIFI032182D#1	HLA-DRB1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB1-e06cf1f9de9ca277	HIFI032462D#2	HLA-DRB1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB1-e9bd202d352d5882	HIFI032103D#1	HLA-DRB1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB1-f249aa2592a201f5	apr001#1	HLA-DRB1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB1-fc8aeba3d6538477	RY01#1	HLA-DRB1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB4-184d6a423c2be2c0	apr010#1	HLA-DRB4			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB4-184d6a423c2be2c0	RY08#2	HLA-DRB4			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB5-07d6464f2ca9b188	HIFI032513D#2	HLA-DRB5			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB5-189ee1572bd82ac5	HIFI032306D#1	HLA-DRB5			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB5-49c2ade3677931b1	HIFI032473D#2	HLA-DRB5			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB5-6750fe6b2cc3646d	HIFI032585D#2	HLA-DRB5			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB5-e2479cfeb0907959	apr009#2	HLA-DRB5			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB5-e312b542990e43c0	RY08#1	HLA-DRB5			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
