hap_id	donor	cohort	source_type	panel_flags	c4_annotated_copies	cyp21_like_loci	tnx_like_loci	whr1_like_loci	same_contig	span_contig	span_start0	span_end0	balanced_module_components	screen_signature	signature_id	classification	limitation
HG00235#2	HG00235	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG00235#2#JBIREE010000012.1:28440799-33687305	3552966	3691120	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00253#1	HG00253	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG00253#1#CM094460.1:28362997-33511495	3554970	3686774	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00253#2	HG00253	HPRC-Rest	assembly_or_reference		2	2	2	2	1	HG00253#2#CM094482.1:28362559-33525998	3554289	3692448	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00272#1	HG00272	HPRC-Rest	assembly_or_reference		2	2	2	2	1	HG00272#1#CM094189.1:28268096-33422158	3550160	3688306	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4AL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-109f6cb2c3c027c8	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00272#2	HG00272	HPRC-Rest	assembly_or_reference		1	1	1	1	1	HG00272#2#CM094216.1:28400431-33497055	3553064	3652138	1	WHR1-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-a002f576cdda62b4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00280#1	HG00280	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG00280#1#CM087149.1:28404965-33542525	3553113	3691266	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00280#2	HG00280	HPRC-Rest	assembly_or_reference		1	1	1	1	1	HG00280#2#CM087160.1:28390542-33496389	3562308	3661373	1	WHR1-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-a002f576cdda62b4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00290#1	HG00290	HPRC-Rest	assembly_or_reference		1	1	1	1	1	HG00290#1#CM089982.1:28384478-33524366	3563957	3669400	1	WHR1-like+|C4AL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-80c1563b57f16898	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00290#2	HG00290	HPRC-Rest	assembly_or_reference		2	2	2	2	1	HG00290#2#CM090006.1:28396532-33558743	3554268	3692443	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4AL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-109f6cb2c3c027c8	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00320#1	HG00320	HPRC-Rest	assembly_or_reference		1	1	1	1	1	HG00320#1#CM089951.1:28434922-33547606	3624508	3729933	1	WHR1-like+|C4AL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-80c1563b57f16898	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00320#2	HG00320	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG00320#2#CM089965.1:28395668-33476154	3566328	3698131	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00321#1	HG00321	HPRC-Rest	assembly_or_reference		2	2	2	2	1	HG00321#1#CM089541.1:28422537-33579208	3555897	3687700	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00321#2	HG00321	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation;downstream_graph_clipping_loss	1	1	1	1	1	HG00321#2#CM089572.1:28378789-33420293	3553400	3658824	1	WHR1-like+|C4AL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-80c1563b57f16898	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00323#1	HG00323	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG00323#1#CM087306.1:28385818-33469846	3505533	3637336	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00323#2	HG00323	HPRC-Rest	assembly_or_reference		2	2	2	2	1	HG00323#2#CM087331.1:28400279-33501006	3498159	3629961	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00329#1	HG00329	HPRC-Rest	assembly_or_reference		3	3	3	3	1	HG00329#1#CM094227.1:28398918-33572031	3563901	3728516	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4AS+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-e92677dc4f8b8aff	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00329#2	HG00329	HPRC-Rest	assembly_or_reference		2	2	2	2	1	HG00329#2#JBIRDQ010000006.1:28383055-33548759	3557706	3695877	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00344#1	HG00344	HPRC-Rest	assembly_or_reference		2	2	2	2	1	HG00344#1#JBIREN010000005.1:28404553-33569861	3558088	3696255	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00344#2	HG00344	HPRC-Rest	assembly_or_reference		2	2	2	2	1	HG00344#2#JBIREO010000046.1:28507887-33680519	3564009	3702176	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00350#1	HG00350	HPRC-Rest	assembly_or_reference		2	2	2	2	1	HG00350#1#JBIREL010000054.1:28392042-33553743	3553813	3691978	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00350#2	HG00350	HPRC-Rest	assembly_or_reference		2	2	2	2	1	HG00350#2#JBIREM010000045.1:28412158-33655472	3551884	3690053	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00408#1	HG00408	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation	3	3	3	3	1	HG00408#1#CM085956.1:28367209-33537812	3557966	3722500	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-f3965b9e0fe6783a	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00408#2	HG00408	HPRC-EastAsian	assembly_or_reference		2	2	2	2	1	HG00408#2#CM085969.1:28371022-33519581	3546936	3678733	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00423#1	HG00423	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG00423#1#CM089400.1:28362185-33602188	3551713	3683525	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00423#2	HG00423	HPRC-EastAsian	assembly_or_reference		2	2	2	2	1	HG00423#2#CM089416.1:28353255-33428495	3555610	3693784	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00438#1	HG00438	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation	1	1	1	1	1	HG00438#1#CM089172.1:28419975-33475943	3503119	3608567	1	WHR1-like+|C4AL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-80c1563b57f16898	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00438#2	HG00438	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation	1	1	1	1	1	HG00438#2#CM089191.1:28355071-33575312	3544654	3650048	1	WHR1-like+|C4AL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-80c1563b57f16898	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG005#1	HG005	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG005#1#CM099986.1:28343337-33540760	3505592	3643764	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG005#2	HG005	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG005#2#CM099975.1:28427209-33625676	3504982	3643137	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00544#1	HG00544	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation;downstream_graph_clipping_loss	2	2	2	2	1	HG00544#1#CM089373.1:28382951-33635750	3564737	3696548	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A1P-like+|TNXB-like-	RCCX-SCREEN-4b4b6e68dd2a2a5d	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00544#2	HG00544	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG00544#2#CM089387.1:28377663-33617357	3551687	3683488	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00558#1	HG00558	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation;downstream_graph_clipping_loss	2	2	2	2	1	HG00558#1#CM088495.1:28611632-33843761	3545168	3676957	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00558#2	HG00558	HPRC-EastAsian	assembly_or_reference		2	2	2	2	1	HG00558#2#CM088524.1:28472433-33604465	3542267	3674055	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00597#1	HG00597	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation	3	3	3	3	1	HG00597#1#JBHDUU010000003.1:28248152-33413616	3558010	3722544	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-f3965b9e0fe6783a	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00597#2	HG00597	HPRC-EastAsian	assembly_or_reference		2	2	2	2	1	HG00597#2#CM085784.1:28381176-33466863	3508783	3646963	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00609#1	HG00609	HPRC-EastAsian	assembly_or_reference		2	2	2	2	1	HG00609#1#CM086351.1:28557002-33710805	3553425	3685222	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00609#2	HG00609	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG00609#2#CM086361.1:28373908-33563607	3497376	3635540	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4AL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-109f6cb2c3c027c8	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00621#1	HG00621	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG00621#1#CM087851.1:28412809-33652212	3552512	3684309	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00621#2	HG00621	HPRC-EastAsian	assembly_or_reference	downstream_graph_clipping_loss	2	2	2	2	1	HG00621#2#CM087865.1:28365619-33503852	3561736	3699888	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00639#1	HG00639	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG00639#1#CM088540.1:28385584-33628081	3549504	3687653	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00639#2	HG00639	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG00639#2#CM088555.1:28389308-33644836	3563495	3701646	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00642#1	HG00642	HPRC-Rest	assembly_or_reference		1	1	1	1	1	HG00642#1#JBHDST010000009.1:28352295-33459982	3560115	3665509	1	WHR1-like+|C4AL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-80c1563b57f16898	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00642#2	HG00642	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation;downstream_graph_clipping_loss	2	2	2	2	1	HG00642#2#CM086622.1:28408489-33506502	3504637	3636425	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00658#1	HG00658	HPRC-EastAsian	assembly_or_reference	downstream_graph_clipping_loss	2	2	2	2	1	HG00658#1#CM088776.1:28382214-33455895	3554050	3692219	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG00658#2	HG00658	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation	3	3	3	3	1	HG00658#2#CM088798.1:28345511-33527662	3552428	3717027	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4AS+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-e92677dc4f8b8aff	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
