hap_id	contig	start0	end0	span_bp	N_bases	other_ambiguous_bases	contig_edge_distance	span_sha256
HG00146#2	HG00146#2#JBHIKP010000006.1:28398454-33526840	3553178	3658606	105428	0	0	1469781	4741f766638b92ea0718cd61ddce2a63439dad5b771de7fb0c01b2520cefe018
HG00232#1	HG00232#1#JBHIKM010000014.1:28302939-33474178	3562598	3700761	138163	0	0	1470479	72e01af6e48983567cebbcc26a49935094f9842923f396ec0af291d1e568f2c1
HG00232#2	HG00232#2#JBHIKN010000040.1:28366410-33541603	3559433	3730340	170907	0	0	1444854	3b0daad471ded2964912b9e260335fe89896705627120e8a3af633775f0cacad
HG00235#1	HG00235#1#JBIRED010000015.1:28430445-33672471	3549429	3687584	138155	0	0	1554443	81389117f59632259aa7eaa6e62aeec5fa231c5663c7e022b7a9e56aa95fc29b
HG00235#2	HG00235#2#JBIREE010000012.1:28440799-33687305	3552966	3691120	138154	0	0	1555387	71aaa1a6cafb749c337dc6d2459fa06bed48a78130118784e698e3f624c5b3cd
HG00253#1	HG00253#1#CM094460.1:28362997-33511495	3554970	3686774	131804	0	0	1461725	d06347395165c5981206370299b979a2055a188e601d18d0ff1069978118060c
HG00253#2	HG00253#2#CM094482.1:28362559-33525998	3554289	3692448	138159	0	0	1470992	37420e93ddab4f62447f3040f396e327da0f3c399df1572a5a2ee129c212f448
HG00272#1	HG00272#1#CM094189.1:28268096-33422158	3550160	3688306	138146	0	0	1465757	1f654b668a8724af1668fde8b585df2682aa0ed81c2b8dfa5944b426b533bc30
HG00272#2	HG00272#2#CM094216.1:28400431-33497055	3553064	3652138	99074	0	0	1444487	8363c1ef3fd765a1d9aa1d3ec6078434323ebccb7061bbf7844e48c6afde5986
HG00280#1	HG00280#1#CM087149.1:28404965-33542525	3553113	3691266	138153	0	0	1446295	130464a0037ef67142438681c690c0ab060bd05ad347b5f16d2e8ae08900010b
HG00280#2	HG00280#2#CM087160.1:28390542-33496389	3562308	3661373	99065	0	0	1444475	0082d366416bb5c35140dbbc9c82d3cb9484e819cccf2d0ce4884aaf90353e13
HG00290#1	HG00290#1#CM089982.1:28384478-33524366	3563957	3669400	105443	0	0	1470489	3e746d38be377d2cc4dc4e09191ea4e977a939028a7546e973b9a92d9e293505
HG00290#2	HG00290#2#CM090006.1:28396532-33558743	3554268	3692443	138175	0	0	1469769	a8cdf4251cff098233b0937776a4fabcb5a97dcdf0d684f0fe10bb3211563032
HG00320#1	HG00320#1#CM089951.1:28434922-33547606	3624508	3729933	105425	0	0	1382752	6db7df30bf2ca3adb082db09fd52d326d01441fbe9f0490ecb15b577aa3db01d
HG00320#2	HG00320#2#CM089965.1:28395668-33476154	3566328	3698131	131803	0	0	1382356	f840a0ad657dd76c8b8098cc130f0d385597d6b820c040c5d63f28a705f67301
HG00321#1	HG00321#1#CM089541.1:28422537-33579208	3555897	3687700	131803	0	0	1468972	f7e0b0232bc13b5968fbe3906a1efe50f6d81b700e5fb0ecab418118647a6868
HG00321#2	HG00321#2#CM089572.1:28378789-33420293	3553400	3658824	105424	0	0	1382681	eb1b8e790a76d182b002852dc9a61ae197ad9aedffc3b510a13725638dd1bb0b
HG00323#1	HG00323#1#CM087306.1:28385818-33469846	3505533	3637336	131803	0	0	1446693	d4058d849d7a4bec43fff4239b7af53547e83f15f0a478a4e66bb93f2a958be4
HG00323#2	HG00323#2#CM087331.1:28400279-33501006	3498159	3629961	131802	0	0	1470767	dcc758dc91633a24cf9a9039ec3487fec98b0f03e32c5a30c57d30256100b1ce
HG00329#1	HG00329#1#CM094227.1:28398918-33572031	3563901	3728516	164615	0	0	1444598	dfb55ccad1dc88621597bad213028b8a63660c72885f8d09fec7f0d3d759c79e
HG00329#2	HG00329#2#JBIRDQ010000006.1:28383055-33548759	3557706	3695877	138171	0	0	1469828	247cefeba5dbdc964ded211ac5bea2c4c9a996768d264d08983590cedc06f394
HG00344#1	HG00344#1#JBIREN010000005.1:28404553-33569861	3558088	3696255	138167	0	0	1469054	c4c3d74ebeb93f03d76ce78b7089682770cbc3cc4f154f5717328cf2fe585345
HG00344#2	HG00344#2#JBIREO010000046.1:28507887-33680519	3564009	3702176	138167	0	0	1470457	c508ea439175ada3ac9d754d450eb6770c9a14a3c66de3d9fb072c4a94a96049
HG00350#1	HG00350#1#JBIREL010000054.1:28392042-33553743	3553813	3691978	138165	0	0	1469724	263a88e57438195c447d97d5aedeb686047619d0148f553de2d1f33ce81f7d6d
HG00350#2	HG00350#2#JBIREM010000045.1:28412158-33655472	3551884	3690053	138169	0	0	1553262	7d47ad9b368b26c4e28f4465d3af9c85f5d9ce4866212a7743067ff92b13e867
HG00408#1	HG00408#1#CM085956.1:28367209-33537812	3557966	3722500	164534	0	0	1448104	feb2f477c5ed2eda468a415974c6caf607c87c3d591ad95e2c2a4aad404e87fb
HG00408#2	HG00408#2#CM085969.1:28371022-33519581	3546936	3678733	131797	0	0	1469827	2c7db8ca28094b203d33fa15b829d6c3a6c88764649a92f05af17bfef2d30f82
HG00423#1	HG00423#1#CM089400.1:28362185-33602188	3551713	3683525	131812	0	0	1556479	027ac35e254e23dffb9c2c43c36e302c7a574a2ae90ad37cbbeebbdc9d722343
HG00423#2	HG00423#2#CM089416.1:28353255-33428495	3555610	3693784	138174	0	0	1381457	a7ab9ac67a0136c21d768964ee287386492eb338f101092ae3d2954e8f316ba5
HG00438#1	HG00438#1#CM089172.1:28419975-33475943	3503119	3608567	105448	0	0	1447402	ad7a19bd234fe5ca49abb6b0dbbddf74623b75c9e09bc79c40b5db0883fa8d2b
HG00438#2	HG00438#2#CM089191.1:28355071-33575312	3544654	3650048	105394	0	0	1570194	03458473235327d30e977d6c1d70e48973ecf71020db9c7197652d3b174df682
HG005#1	HG005#1#CM099986.1:28343337-33540760	3505592	3643764	138172	0	0	1553660	b4464f09b60f8abb7ed55ff1d00c0d2b9d7b3c26ef024c2c45b4d316c10199d7
HG005#2	HG005#2#CM099975.1:28427209-33625676	3504982	3643137	138155	0	0	1555331	7592f30ddb40fa04a69bc02c89f6ab231c268b4ee06275d640b5a09e61569645
HG00544#1	HG00544#1#CM089373.1:28382951-33635750	3564737	3696548	131811	0	0	1556252	659ae8f1b8a6a9eb3d526a692bfecd36e19eebedd0fcbb73b804d9fd140a07dd
HG00544#2	HG00544#2#CM089387.1:28377663-33617357	3551687	3683488	131801	0	0	1556207	625b1b2343b192d053a350c364248f7a85b04957e96df8260e414077ee8c5189
HG00558#1	HG00558#1#CM088495.1:28611632-33843761	3545168	3676957	131789	0	0	1555173	befc5cce0781e6c11c2feaf11c8379669cd9d350692b5d09ab0d6c413f42f821
HG00558#2	HG00558#2#CM088524.1:28472433-33604465	3542267	3674055	131788	0	0	1457978	3057321ad8091bfaa16d9b6f54741f63db267d67c6b6fa4ef5d4a0c2eb2bd818
HG00597#1	HG00597#1#JBHDUU010000003.1:28248152-33413616	3558010	3722544	164534	0	0	1442921	c2a03e8d2f9046f4208e317a21dc1ffea80f662fa11cd3e6f070d7c8f64dcb77
HG00597#2	HG00597#2#CM085784.1:28381176-33466863	3508783	3646963	138180	0	0	1438725	31c7ef10948497cada11376d1836c06f06dfd1fbb497101572643a77bb398fec
HG00609#1	HG00609#1#CM086351.1:28557002-33710805	3553425	3685222	131797	0	0	1468582	ff402d47236a88e75522a8ab9af4e9e065d3fbe0a933cf824fceaa4df3509cd1
HG00609#2	HG00609#2#CM086361.1:28373908-33563607	3497376	3635540	138164	0	0	1554160	86515049693e0514c64ecc188b297895deb683538025645b298de4caa11611ac
HG00621#1	HG00621#1#CM087851.1:28412809-33652212	3552512	3684309	131797	0	0	1555095	0dfb38cc3e233f1ee334f9a7bc619cb20721d2db2790c2e5c57ca58363393e07
HG00621#2	HG00621#2#CM087865.1:28365619-33503852	3561736	3699888	138152	0	0	1438346	339902c005bbffcd3b8a9b26709c90c377b08820301500ad9195c5b8a8af3160
HG00639#1	HG00639#1#CM088540.1:28385584-33628081	3549504	3687653	138149	0	0	1554845	7f606f39dc9eae63e3c747fa9d65d7200a097c24e4f93d3a4a6ee9fcd0f97f10
HG00639#2	HG00639#2#CM088555.1:28389308-33644836	3563495	3701646	138151	0	0	1553883	3917d549999c05cd75a1e554109ed1fd6ea9c0164252924841a025c679b54e46
HG00642#1	HG00642#1#JBHDST010000009.1:28352295-33459982	3560115	3665509	105394	0	0	1442179	dc3260a3b89092cd141c40eeecbbb91aea36c5aa2e692085e4cb46a15a917c43
HG00642#2	HG00642#2#CM086622.1:28408489-33506502	3504637	3636425	131788	0	0	1461589	f7b1acca25e66954fb066cea7dcb8a5b4b2ec55ba578a91e72b9b694327697ea
HG00658#1	HG00658#1#CM088776.1:28382214-33455895	3554050	3692219	138169	0	0	1381463	6e35df88c6e4a6814375f0f8e3b35f5c595b4ae0ca5c94d8b8b279d9cd91824f
HG00658#2	HG00658#2#CM088798.1:28345511-33527662	3552428	3717027	164599	0	0	1465125	161a4ae61ce87731d25bd8ae1276c692ee4c333de0111d483afa30faf4611377
HG00673#1	HG00673#1#CM089145.1:28380395-33412996	3456266	3594448	138182	0	0	1438154	d6e6e5fcc39b446e31378600b29c66e93b8def33669067cfbcc4b7f4dc15c614
HG00673#2	HG00673#2#CM089157.1:28378967-33442230	3549256	3681057	131801	0	0	1382207	6ad9e078aa29ffa2b107b29230d583f39fb1635d7a55f72c67f9c806bb8ebbb7
HG00706#1	HG00706#1#CM100016.1:28396497-33554012	3555517	3687407	131890	0	0	1470109	866dc49cf3a2cf578bb0483173a8b21efcff0a27b8f8e5db294eaac7030c0f52
HG00706#2	HG00706#2#CM100060.1:28411727-33571906	3553179	3691349	138170	0	0	1468831	1f5e4ee5233cc4813b3acf3bd93135c5071aad3b20a43da9044567f7cb1dff1f
HG00733#1	HG00733#1#JAHEPQ020000004.1:28448883-33531506	3505520	3643682	138162	0	0	1438942	7d5fe502d633c90597d8cd12ccab32df7dd17703ec729f1dbd4cc31c59f58966
HG00733#2	HG00733#2#JAHEPP020000013.1:28389728-33496160	3560094	3665487	105393	0	0	1440946	51446795461f145f6eca09e392b018a235e3c4948492a77d94112a99eba3366c
HG00735#1	HG00735#1#CM087879.1:28400157-33626272	3624398	3756202	131804	0	0	1469914	d48f5375e875bc188d3d602631b6c26456a63a51394108f9ca498f0ba4dfbec7
HG00735#2	HG00735#2#CM087888.1:28407279-33712571	3619549	3751337	131788	0	0	1553956	f697439164a97e154f9b9d5c5ff805b246cb85d71a5e7375fef8c8b81bee3ae4
HG00738#1	HG00738#1#CM086647.1:28420303-33517291	3553126	3652200	99074	0	0	1444789	8363c1ef3fd765a1d9aa1d3ec6078434323ebccb7061bbf7844e48c6afde5986
HG00738#2	HG00738#2#CM086684.1:28399019-33553590	3551292	3689438	138146	0	0	1465134	c822b1504e73f7ec11f36ba4a90e024fde281099b0ff0ef17a1b299405c2422c
HG00741#1	HG00741#1#CM087899.1:28395234-33528259	3561953	3693771	131818	0	0	1439255	0528f98f9194d49149611d3f30648b13fee67adfa403353afc63d273ff94dc21
HG00741#2	HG00741#2#CM087911.1:28428150-33619756	3617898	3749690	131792	0	0	1441917	7cb20c84ddec5fbe3521f1fba09fe774d9e624ad401ec830799232fb2cccbfb0
HG01071#1	HG01071#1#CM089116.1:28400399-33605490	3508189	3639976	131787	0	0	1565116	363db24cc7ebfc4fefe57ddd4bf274bfb46d67bd392c1a30ee1019b76bc26237
HG01071#2	HG01071#2#JAHBCE020000004.1:28353469-33512869	3561228	3719382	158154	0	0	1440019	e60d75414c11867ba525d92d572f6fc0ce30560d9ba121ade673da0e6b403a8e
HG01074#1	HG01074#1#CM088786.1:28385433-33531927	3538005	3676168	138163	0	0	1470327	b1c757741079ea9e37ef86b3ab733ce00e29ca4ac395ec43459475517d8cf3ed
HG01074#2	HG01074#2#CM088812.1:28367163-33616085	3553327	3685134	131807	0	0	1563789	a90aa34d2467bc0a2bc7c1e3b31b8b1498ad248d643a612edebdeac1c98192c3
HG01081#1	HG01081#1#CM088567.1:28461361-33570671	3500089	3670994	170905	0	0	1438317	39de947286df29d78240f7c981b85ef26c80bef336dbf148f726e08218a9e64c
HG01081#2	HG01081#2#CM088583.1:28313947-33411923	3504615	3636403	131788	0	0	1461574	479b42277ba18fe7967a6978938a9049b5253759c9b81f94e36dc0c7c589f79c
HG01099#1	HG01099#1#CM086260.1:28473499-33727222	3558144	3689931	131787	0	0	1563793	261a3e2ab450b1206cc888bba6b25d7b19a040e7f193caa6b808fdcd5458c367
HG01099#2	HG01099#2#CM086271.1:28372897-33623240	3553631	3685439	131808	0	0	1564905	c3a5fa388140d8535ce61e46ce462ab56f8e420154d283386fb7edeb825403cb
HG01106#1	HG01106#1#CM087952.1:28365981-33527455	3614816	3720214	105398	0	0	1441261	0fba65261113c8ed407ce34449a8b34b10cae98af566f8782753d1bb95906d0c
HG01106#2	HG01106#2#CM087965.1:28447447-33606093	3611955	3717353	105398	0	0	1441294	acf88dc3bae7129ceb142a5fac0951ccf781c0af7cbcbec0d37e9ef20777ebe0
HG01109#1	HG01109#1#CM092087.1:28385979-33527092	3618991	3757145	138154	0	0	1383969	833ff8041a77160e60f059c26f6e5e4268c81cb043af43a3a36455f5cfd674ab
HG01109#2	HG01109#2#CM092075.1:28375676-33512099	3553646	3685444	131798	0	0	1450980	d982a1a6f0565319e1db9f0d0679d478a3ba36353e74319ef44ead9c449014f8
HG01123#1	HG01123#1#CM089083.1:28404843-33659990	3554392	3692549	138157	0	0	1562599	09c65922b4f466f15f9159630568d73d22bc0a782befc2951b45fcbf224ec643
HG01123#2	HG01123#2#CM089098.1:28415807-33563460	3543398	3681552	138154	0	0	1466102	c838d86a6a7d6d181825d3397fed0e182dc249cce1ba1c2998a9d10362cfce16
HG01150#1	HG01150#1#CM088598.1:28377562-33536105	3548758	3686907	138149	0	0	1471637	f119e9550d2336c80666e87b49de7df295e8255695f599a1be5a5e03ba0019c9
HG01150#2	HG01150#2#CM088614.1:28600391-33807062	3622058	3760216	138158	0	0	1446456	390e3ff5cfa90250765718d826e9cff9709885abb5a6bf9597d3426a57aa7aa3
HG01167#1	HG01167#1#CM094528.1:28408993-33550950	3455615	3587414	131799	0	0	1554544	be6d7f49a44c45110629d1cf993e0c054a93117735a3c0f804ce07e034682ff4
HG01167#2	HG01167#2#CM094543.1:28383235-33548638	3563172	3694957	131785	0	0	1470447	4161fc35ad0848d2d14ce4fe8c7cd633e6ecccc5e705562f870a272d8dc0ba42
HG01175#1	HG01175#1#CM087925.1:28388857-33560219	3562251	3700414	138163	0	0	1470949	ce3bae98cb5b7918e2bf013aa5662e62a7b284df10888eb47d19136e9fefe9de
HG01175#2	HG01175#2#CM087940.1:28426263-33594671	3566926	3698718	131792	0	0	1469691	0b40d0587171f0cb5618682159f9144da92d8580e39a499dc93bd51b97c0704b
HG01192#1	HG01192#1#JBHDVI010000008.1:28423245-33497113	3553305	3691458	138153	0	0	1382411	506053ef211be763f28caf2a5fe9c5736adb0c247098542a19ac8c805b6c284f
HG01192#2	HG01192#2#JBHDVJ010000035.1:28425182-33556403	3560312	3692111	131799	0	0	1439111	be6d7f49a44c45110629d1cf993e0c054a93117735a3c0f804ce07e034682ff4
HG01243#1	HG01243#1#JAHEOY020000051.1:28395858-33529902	3554682	3686473	131791	0	0	1447572	ce8423328ec25de77e43f4129ef47e69fb88fde20d4b67e3aa41968dd4f6201b
HG01243#2	HG01243#2#JAHEOX020000061.1:28429017-33652180	3619653	3757799	138146	0	0	1465365	0ceec4aa69320331005029dbece0419eaf93fa72cb547c238a77f226501474f4
HG01252#1	HG01252#1#CM088824.1:28394713-33593325	3506201	3644361	138160	0	0	1554252	4e28bd146a3a8a938932c859202faa7baeac7f24db418a3a409e72e075f6f3ce
HG01252#2	HG01252#2#CM088855.1:28339611-33537772	3505945	3644122	138177	0	0	1554040	11d76891a8b4a0ef2cf08232dfef01a05eeb12087e4695c7224bd8691a56e624
HG01255#1	HG01255#1#CM086707.1:28387912-33538917	3553259	3685063	131804	0	0	1465943	d4a251751de09f427ce60e3030e6e15463a63961983d1b1fce82ffb7d9b9dec2
HG01255#2	HG01255#2#CM086721.1:28434597-33610529	3552771	3690932	138161	0	0	1485001	3a9c8dd541f7a454ed5bb53b8c00858cb0dc39753d5a3b384994b5cbbea712e1
HG01258#1	HG01258#1#CM088113.1:28436863-33569447	3555930	3687729	131799	0	0	1444856	21fb91646fe5ddb6870b218aa1d1402cfac8a5a7a5a0e40413c53d5b178a4bdc
HG01258#2	HG01258#2#JAGYYU020000010.1:28495340-33647216	3562260	3694047	131787	0	0	1457830	ad35ed1c655389d5e5ddcf7f9d0ac3f291fecdd7c0130434d824655ba98ca74a
HG01261#1	HG01261#1#JBHDVG010000007.1:28479273-33732193	3559213	3697376	138163	0	0	1555545	d6990950912d70c0c8553585a6989c2685f808721c9a54929aafe01d4cec92d5
HG01261#2	HG01261#2#JBHDVH010000044.1:28397284-33514117	3563740	3734625	170885	0	0	1382209	37b498a80f4b6f9e99469c0c068ddce6c4f0c82923267209e23d156c10840528
HG01346#1	HG01346#1#CM086588.1:28433990-33540363	3503980	3642145	138165	0	0	1464229	8cb07239eb411942541d65cdac42e4a2a4e7c937c3bea70460d7a0504aa3b6f1
HG01346#2	HG01346#2#JBHDSS010000002.1:28289708-33434702	3560188	3698359	138171	0	0	1446636	45b153083e30d69af6cd618cb6d99e0a49ec5e2aeb93373769eee66c305fd61b
HG01358#1	HG01358#1#CM089055.1:28447322-33645210	3505962	3644121	138159	0	0	1553768	7cc12fb21c25372da24b5df102c21448a820a9a60a15be66c34f10c5c2b3302e
HG01358#2	HG01358#2#CM089068.1:28448274-33504819	3477932	3609699	131767	0	0	1446847	35ab43c87e221199326b284c2f80efe7f26228d8b2f9df7af948fd44e5ec075e
HG01361#1	HG01361#1#CM089024.1:28417386-33535858	3545059	3676868	131809	0	0	1441605	ce0981502bd1aaa41287ca9fd876155fc4bf6761e24af4a5ee7cf2662ee978a3
HG01361#2	HG01361#2#CM089040.1:28439662-33687433	3552256	3684064	131808	0	0	1563708	84df8ea2e02d50cd40d52edfd119f214b2b8a47e75f46ae89e352f0b7fffe333
HG01433#1	HG01433#1#CM086483.1:28472310-33714767	3549949	3688107	138158	0	0	1554351	1943590adce9678a118afe38025ab2462ed69b179ec040df2912f7f42226903d
HG01433#2	HG01433#2#CM086511.1:28432606-33680115	3551846	3683633	131787	0	0	1563877	d2c6a2f72b83122d51e1fcc94ae5aa00b8705dbf0fa854a701cb9b2d51355e63
HG01496#1	HG01496#1#CM086373.1:28374305-33527298	3552543	3684341	131798	0	0	1468653	659d8b9c52c0e3a8d556d5907b250ca5a51e37a44d489de566321ee2b3ea93de
HG01496#2	HG01496#2#CM086388.1:28388376-33615208	3501627	3672515	170888	0	0	1554318	cd62233411e81b2144f660eebaa17b446ba8298b15c06330783eb55e7fe0554b
HG01530#1	HG01530#1#CM087536.1:28292231-33446470	3552622	3684421	131799	0	0	1469819	0891c10307a0e08827cd8f0e9b07281609350dfa73cd1a6d00c9bb43181a87b9
HG01530#2	HG01530#2#CM087560.1:28372601-33566242	3497864	3629651	131787	0	0	1563991	21ed17fc52f5d623563f200d38a202c89bcdc494c829c9016f0e3036d8a67066
HG01784#1	HG01784#1#CM087570.1:28443802-33693813	3554282	3692431	138149	0	0	1557581	c8601441da65e8bb1f81adc0bec01cc171ee802baf32ebf7e3c64123f027258e
HG01784#2	HG01784#2#CM087597.1:28389780-33578100	3502039	3633827	131788	0	0	1554494	2559d4d2298910e5462d7fe7e2f8096fc5f4eea9c31dc56c5256b8c4768f76b9
HG01786#1	HG01786#1#CM089504.1:28430581-33555976	3549143	3687297	138154	0	0	1438099	5152f582915f1e75c7331548061a8aa50ea66242569aba1db4fab6ec5ffa8b25
HG01786#2	HG01786#2#JBHIIX010000001.1:28291277-33427374	3559439	3691223	131784	0	0	1444875	fbefcdae0a972d03483d298422455f9b3b3d9cd888d071285deb8aa5289e284c
HG01884#1	HG01884#1#JBHDSB010000050.1:28364997-33565662	3624984	3756776	131792	0	0	1443890	8a6e61166fcc4b55af8f59bee5a2b5b575c49f68f0687faecaf5cca49bc25b3e
HG01884#2	HG01884#2#CM086422.1:28486017-33727367	3620273	3778401	158128	0	0	1462950	9e12ed6351388154d5e67c493df890100bbff774e32cbbcd7563cfe3440e824f
HG01891#1	HG01891#1#JAGYVO020000076.1:2900811-8125517	3621624	3753436	131812	0	0	1471271	c03d4d8fd95e4c3eb5da117b4e4d39fb7d8e3b648738dc3e4d23e35c65be5aec
HG01891#2	HG01891#2#JAGYVN020000007.1:1681129-6883010	3619377	3751161	131784	0	0	1450721	efa3b0ac204e677e33bde01d38c852b5c89f044255bfa2f99d680bb909a5100f
HG01928#1	HG01928#1#CM088988.1:28420054-33667363	3554832	3692982	138150	0	0	1554328	437131c4832b54748046540471e152b709a226ba05996a1383e019ca303edeeb
HG01928#2	HG01928#2#CM089004.1:28358676-33609094	3554943	3693217	138274	0	0	1557202	21db0febdb47ca2de9eb664efc74a7a2330d9b86145059955ee1a2849bf16257
HG01934#1	HG01934#1#CM088840.1:28381638-33543037	3553869	3692027	138158	0	0	1469373	a269bbc3528eda343fcf8428478d9233e9b9a42fbdfd246f749e1fe2235eef29
HG01934#2	HG01934#2#CM088881.1:28393788-33621610	3547164	3672597	125433	0	0	1555226	b58d07f29c658937b928710dc915826588af4fa6fd6d9c4a85f3f10f615384bb
HG01940#1	HG01940#1#CM088633.1:28416533-33550847	3544916	3670352	125436	0	0	1463963	63656e70a3f7e7c59fc188c319795f2986c097684f0d66ae966e9289581a9653
HG01940#2	HG01940#2#JBHIHL010000009.1:28391811-33519262	3554376	3679820	125444	0	0	1447632	269b5a728597da2ace39c8661a31a75bb09aa948e845357c3905e734dbde3b53
HG01943#1	HG01943#1#JBHIIK010000008.1:28388608-33634739	3553582	3691741	138159	0	0	1554391	bf92f25494aaf4a209e8e60ae4ff64794ecde325eed2a68cea1deb0516555c95
HG01943#2	HG01943#2#JBHIIL010000059.1:28384336-33527821	3454707	3586520	131813	0	0	1556966	45759dd1d91b447a8a553a6477ae85a80b7f70a3fbcada2d512cfaf2ede2727e
HG01952#1	HG01952#1#JAHAME020000003.1:28509779-33725990	3625037	3750467	125430	0	0	1465745	f92462478e9dd25671732ded6e7acabe19847e770dc256a9d8af978fc2f0ca82
HG01952#2	HG01952#2#CM087999.1:28438146-33670995	3546769	3678541	131772	0	0	1554309	680228fffb723ffc409f604d4ad83aea420273ff2066a568b32d085c8374349d
HG01960#1	HG01960#1#JBHIHM010000013.1:28299727-33553963	3559855	3691639	131784	0	0	1562598	952e1c904ca2c318985ff08810db058eada6fad0a8bada07a24e8f864c70f65e
HG01960#2	HG01960#2#JBHIHN010000011.1:28515170-33644789	3552594	3684388	131794	0	0	1445232	d47903cbc2d5f773574f2fcf290a318d02aa6c1f1d65aae55656e113ef56fa00
HG01969#1	HG01969#1#CM088687.1:28438493-33684979	3550845	3682653	131808	0	0	1563834	3c86504c8a20f9a08b4d89f59fc578e5e34277545d16244c72f40e72cc17ac66
HG01969#2	HG01969#2#CM088699.1:28424697-33581502	3555126	3686929	131803	0	0	1469877	1a63835ceed8b70ba0b01b5205ca60c1e1c59aa2e91b6400db3f6a6ac5763d97
HG01975#1	HG01975#1#JBJUVS010000062.1:28446168-33791199	3620554	3791442	170888	0	0	1553590	2ea3dab5fdacce7e63ba4c6639eb33a59e5f2c470d089a0d03e18cc277432e53
HG01975#2	HG01975#2#CM099812.1:28391516-33619784	3547046	3672491	125445	0	0	1555778	e79c40073c2c657b4e5568dd14ddf3fc3bb04524ea715bbe38c000b14517e25f
HG01978#1	HG01978#1#CM089247.1:28385214-33602216	3619729	3751520	131791	0	0	1465483	e34a6dfe5a96f4c4ac05737c563d06385462ce6b87303bd02b2e9695c64bf35d
HG01978#2	HG01978#2#CM089273.1:28354032-33630223	3549466	3720303	170837	0	0	1555889	1b47a60369b0201ed890312cb783aefe49e5fe6e5d6c6532eee9cd22ca55ae3e
HG01981#1	HG01981#1#JBHDRV010000009.1:28410315-33655950	3552965	3691119	138154	0	0	1554517	b78e4476bb714c5509e6d0d309cb8b91f705392d89536f5b014a891f1d3b34cd
HG01981#2	HG01981#2#JBHDRW010000010.1:28410780-33681446	3545408	3716292	170884	0	0	1554375	7f78d4a9db51a7211411e214caadcd56e27ab515c12a0b8eabc419955f5e6066
HG01993#1	HG01993#1#JBHDSL010000047.1:28406826-33615858	3611774	3743577	131803	0	0	1465456	148783b30f2c95fef789b2225581e212344ae91fb042d086f781eccb84660ce7
HG01993#2	HG01993#2#JBHDSM010000062.1:28431770-33594269	3560904	3692707	131803	0	0	1469793	0579bcf996998dacdfaea7f4255b64de3baba5cd56eb6dbac2b5ea976f04ddea
HG02004#1	HG02004#1#JBHDRT010000003.1:28425702-33656904	3549735	3675175	125440	0	0	1556028	656fa9bee0fe3b09b9f46f083a11ae68a2edc3612d0651d8dd877b0a27daf550
